SNo.,Company Name,Domain Name,Overview,,Founded Year,City,State,Country,Is Funded,Total Funding (USD),Latest Funded Date,Latest Funded Amount,Latest Funded Amount (USD),Company Stage,Average days between last funding and acquisition,Is Acquired,Acquired By,Acquired Date,Acquired Year,Acquired Amount (USD),Acquisition Type,Is IPO,Editor's Rating,Editor's Rated Date,Soonicorn Club Status,Soonicorn Club Marked Date,Soonicorn Club Event Date,Practice Areas,Feed Name,Business Models,Institutional Investors,Angel Investors,Description,All Geographies Served,Company Emails,Company Phone Numbers,Founders' Info,Founders' Email Ids,Links to Founders' Profiles,Link to Employees,Annual Revenue (USD),Annual Revenue as on,Is Incorporated,Incorporation Date,Paid-up Capital at Incorporation (USD),Founders at Incorporation,Acquisition List,Stock Ticker,IPO Date,IPO Amount (USD),Revenue at IPO (USD),Market Capital at IPO (USD),Stock Price at IPO (USD),Is Deadpooled,Deadpooled Date,Part Of,Same As,,,,Website,Website Status,Website Status Last Updated,LinkedIn,Twitter,Facebook,Blog Url,Tracxn URL,Date Added,Annual Net Profit (USD),Annual Net Profit as on,Annual EBITDA (USD),Annual EBITDA as on,Latest Valuation (USD),Latest Valuation as on,Total Employee Count,Total Employee Count as on,Tracxn Score,Revenue Multiple,Revenue Multiple as on,Special Flags : Yes,Special Flags : No,Special Flags : Unknown,In rounds sheet
4,Coins.ph,coins.ph,Digital wallet for Bitcoin assets,,2014,Pasig,Province Of Pampanga,Philippines,Yes,"10,000,000",5/23/2017,$5M,"5,000,000",Acquired,605,Yes,go-jek.com,"ene. 18, 2019",2019,"95,000,000",Business Acquisition,No,5,"dic. 04, 2020",,,,FinTech,Cryptocurrencies,Cryptocurrencies > Financial Services > Diversified,"Wavemaker Partners
Shapiro Investments
1337 Ventures
Rebright Partners
Quona Capital
Kickstart Ventures
Accion
Innovation Endeavors
Amasia
Global Brain
Pantera Capital
Beenext
Naspers
Digital Currency Group
IdeaSpace Foundation
Firestartr",,"Coins.ph is a digital wallet for Bitcoin assets. Allows users to transfer cash, bill payments, and phone recharge. It enables merchants to accept payments for multiple goods and services. It also facilitates buying and selling of Bitcoins.",Philippines,help@coins.ph,+63-286922829,"Ron Hose; Co-Founder & CEO; ron@coins.ph; http://linkedin.com/in/ronhose; Innovation Endeavors, ex- Founder TokBox. Cornell University 2005
Runar Petursson; Co-Founder & CTO; https://linkedin.com/in/runar-p-640750; Ex-World Financial Desk, Madison Tyler, Xtracard.",ron@coins.ph,"http://linkedin.com/in/ronhose
https://linkedin.com/in/runar-p-640750",http://www.linkedin.com/vsearch/p?f_CC=3753610,,,No,,,,,,,,,,,No,,,,,,,https://coins.ph/,200,"ene. 16, 2021",https://linkedin.com/company/coins-ph/about,https://twitter.com/coinsph,https://facebook.com/coinsph,http://coins.ph/blog,https://tracxn.com/companies/6pWk7850JDJkVsaaG-6Uj5oK5JFlxRl6uwUucYD_nFw/coins.ph,"may. 09, 2014",,,,,,,,,72.62,,,"Tech
Consumer
Enterprise
Software
Blockchain","Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
45,TradeGecko,tradegecko.com,"Cloud-based sales, warehouse and inventory management platform for online retailers",,2012,Singapore,Singapore,Singapore,Yes,"20,000,000",7/23/2018,$10M,"10,000,000",Acquired,743,Yes,intuit.com,"ago. 04, 2020",2020,"80,000,000",Business Acquisition,No,5,"jun. 22, 2020",,,,"Enterprise Applications
Consumer
Logistics Tech
Retail
Retail","ERP
Logistics Tech
E-Commerce Enablers
B2B E-Commerce","ERP > Retail > Suite
Logistics Tech > Warehousing > Enablers > Warehouse Management System
E-Commerce Enablers > Backend > Management Softwares > Order & Inventory Management > Multi-Channel Sellers
B2B E-Commerce > Technology Enablers > Backend > Management Software > Order & Inventory Management","33 Capital
Openspace Ventures
Chameleon
Joyful Frog Digital Innovation
Blibros
Golden Gate Ventures
Wavemaker Partners
Perle Ventures
Jungle Ventures
Aura Group
TNB Aura
500 Durians
neuzee.com",Benjamin Ball,"TradeGecko is a cloud-based sales, warehouse and inventory management platform for online retailers. Its features include management of shipping, receiving, picking, packing, stock transfers between warehouses, order fulfilment, purchase order management, multichannel sales, supply chain management, procurement, returns logistics, inventory tracking and management.",Singapore,hello@tradegecko.com,+65-31639910,"Bradley Priest; Co-Founder & CTO; bradley@tradegecko.com; http://sg.linkedin.com/in/bradleypriest; ex- Co-Founder  Nuezee Labs, Deloitte, Localist. University of Canterbury 2006
Cameron Priest; Co-Founder & CEO; cameron@tradegecko.com; http://sg.linkedin.com/in/cameronpriest; Advocately, ZAHARA. University of Canterbury
Carl Thompson; Co-Founder & CMO; carl@tradegecko.com; http://nz.linkedin.com/pub/carl-thompson/21/7a3/a37; Founder Contento, Quicken NZ.","bradley@tradegecko.com
cameron@tradegecko.com
carl@tradegecko.com","http://sg.linkedin.com/in/bradleypriest
http://sg.linkedin.com/in/cameronpriest
http://nz.linkedin.com/pub/carl-thompson/21/7a3/a37",http://www.linkedin.com/vsearch/p?f_CC=2726683,"6,627,765","dic. 31, 2019",No,,,,,,,,,,,No,,,,,,,https://www.tradegecko.com,200,"ene. 11, 2021",https://linkedin.com/company/tradegecko,http://twitter.com/tradegecko,http://facebook.com/tradegecko,http://tradegecko.com/blog,https://tracxn.com/companies/ssKdbSpovhExEaupn3BULCZJ6HW597ZqQv-4BcfUN9c/tradegecko.com,"feb. 21, 2019","-19,611,062","dic. 31, 2019",,,,,,,57.69,,,"Enterprise
SaaS
Tech
Software","Consumer
Marketplace
Tech Hardware
Social Impact
Artificial Intelligence
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
13,Wave Money,wavemoney.com.mm,Open wallet system,,2015,Yangon,Yangon Region,Myanmar,Yes,"73,500,000",6/16/2020,$74M,"73,500,000",Acquired,8,Yes,yomastrategic.com,"jun. 24, 2020",2020,"76,500,000",Business Acquisition,No,5,"jun. 21, 2020",,,,FinTech,Payments,Payments > Consumer Payments > Wallets,"First Myanmar Investment
Yoma Strategic Holdings
Ant Financial",,"Myanmar-based Wave Money is an app for money transfer. It is a joint venture between Telenor Group and Yoma Bank. The company has a Wave Shop agent network, where user can send &amp; receive money. Users have two options to send &amp; receive money - Wave shop to Wave shop transfer and Wave shop to Wave account transfer. Besides sending and receiving money through the app, users can also buy talktime.",Myanmar,care@wavemoney.com.mm,,"Brad Jones; CEO; brad.jones@wavemoney.com.mm; http://linkedin.com/in/bradjonesmyanmar; Telenor, ex-NAB, IFC, Visa, ANZ, Coles, Orica. Griffith University BCom 1998, The University of Queensland 2003",brad.jones@wavemoney.com.mm,http://linkedin.com/in/bradjonesmyanmar,http://www.linkedin.com/vsearch/p?f_CC=10009822,,,No,,,,,,,,,,,No,,telenor.com,,,,,https://www.wavemoney.com.mm,200,"ene. 19, 2021",https://www.linkedin.com/company/digital-money-myanmar,http://twitter.com/wavemoney_mm,http://facebook.com/wavemoney,,https://tracxn.com/companies/k0_qdVsHCVeHq6wF94FWFXIngtZ698Mo3JPJZA6AqXU/wavemoney.com.mm,"dic. 17, 2019",,,,,,,,,67.68,,,"Consumer
Tech","Enterprise
Marketplace
SaaS","Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
1489,Goviral,goviral.co.id,Platform to connect brands with influencer,,2013,Jakarta,Jakarta,Indonesia,No,,NA,,,Acquired,,Yes,aol.co.uk,"ene. 31, 2011",2011,"74,100,000",Business Acquisition,No,,,,,,"Enterprise Applications
Enterprise Applications","MarketingTech
PR Tech","MarketingTech > Influencer Marketing > Influencer Marketplace
PR Tech > Influencer Marketing > Marketplace",,,"Goviral is an Indonesia-based company which provides brands with a platform to connect to influencers to market their products. It also designs the campaign according to clients needs and distributes the campaigns in suitable channels. Notable clients include Unilever, Gudang Garam etc.",Indonesia,info@goviral.bz,+62-2129349300,"Vishnu Gautama; CEO; vg@goviral.co.id; http://linkedin.com/in/viganunu; CEO Redmedia Teknologi, MD Redbox Indonesia, ex-Founder Dvers. Universitas Bina Nusantara-2007
Unity Suriahardja; Founder; unity@goviral.co.id; http://linkedin.com/in/uunanay; BD at Iconmob Indonesia, Universitas Paramadina-2006","vg@goviral.co.id
unity@goviral.co.id","http://linkedin.com/in/viganunu
http://linkedin.com/in/uunanay",http://www.linkedin.com/vsearch/p?f_CC=3193637,,,No,,,,,,,,,,,No,,,,,,,https://goviral.co.id/,200,"ene. 12, 2021",http://linkedin.com/company/goviral-indonesia,,,,https://tracxn.com/companies/yrTXNtKBEMQaknOeXvYyWcrSoFuLRRsvQpXPcl3ute0/goviral.co.id,"jul. 08, 2016",,,,,,,,,9.09,,,"Enterprise
Tech","Consumer
Marketplace
SaaS","Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
711,Wavy,wavy.global,Chatbot providing customer experience solutions,,2019,Sao Paulo,Sao Paulo,Brazil,No,,NA,,,Acquired,,Yes,sinch.com,"mar. 26, 2020",2020,"70,071,300",Business Acquisition,No,4,"may. 26, 2020",,,,"Enterprise Applications
Enterprise Applications
Technology","Sales Force Automation
Customer Service Software
Chatbots","Sales Force Automation > Lead Generation > Chatbots
Customer Service Software > Help Desk > Live Chat > Virtual Agents
Chatbots > Industry Agnostic > Customer Support",,,"Wavy provides a chatbot offering customer experience solutions. Offers platform providing omnichannel customer service, messaging API integration, AI chatbots, communication content, lead generation solutions and messaging solutions that use different channels such as SMS, WhatsApp, RCS, e-mail, voice, & more. Clients include Disney, Microsoft, Google, Facebook, WhatsApp, Natura, SBT, Bradesco and Amazon among others.",Brazil,dpo@wavy.global,+55-1121630561,"Eduardo Henrique; CEO; eduardo.henrique@wavy.global; https://linkedin.com/in/edulh; Co-Founder Movile, Ex-CEO Infosoftware. Escola Superior de Propaganda e Marketing 1999, Unicamp - Universidade Estadual de Campinas 2001, Stanford University Graduate School of Business 2016",eduardo.henrique@wavy.global,https://linkedin.com/in/edulh,,,,No,,,,,,,,,,,No,,,,,,,https://wavy.global/,200,"ene. 29, 2021",https://linkedin.com/company/wavy-global/about,,https://facebook.com/wavyglobal,http://wavy.global/blog,https://tracxn.com/companies/zMXJ5QJKrOwXUvjskPELrTVfIBvZR70rvy7PqCdgDo8/wavy.global,"abr. 03, 2020",,,,,,,,,27.09,,,"Artificial Intelligence
Tech
Enterprise
Software","Consumer
Marketplace
SaaS
Tech Hardware
Social Impact
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
50,Red Dot Payment,reddotpayment.com,API-linked payment gateway provider,,2011,Singapore,Singapore,Singapore,Yes,"6,200,000",9/11/2017,$5M,"5,200,000",Acquired,662,Yes,payu.com,"jul. 05, 2019",2019,"65,000,000",Business Acquisition,No,4,"jun. 21, 2020",,,,"FinTech
FinTech","Payments
Finance & Accounting Tech","Payments > Business Payments > Online Payments
Finance & Accounting Tech > Accounting Solutions > Quote to Cash > Account Receivables > Invoicing > Payment Acceptance","Wavemaker Partners
doerrgroup.com
GMO Venture Partners
MDI Ventures
Telkomsel",Toivo Annus,"Red Dot Payment offers an API-linked payment gateway for merchants and financial institutions. Supports a range of payments from online consumer payments to B2B payment collection. Features include online invoicing, recurring payments, MOTO payments, one-click payments, and customized payments. PCI-DSS compliant.",Singapore,info@reddotpayment.com,,"Randy Tan; Founder & MD; randytan@reddotpayment.com; http://linkedin.com/in/tanrandy; Ex-Visa, British American Tobacco.",randytan@reddotpayment.com,http://linkedin.com/in/tanrandy,http://www.linkedin.com/vsearch/p?f_CC=2550548,,,No,,,,,,,,,,,No,,,,,,,https://reddotpayment.com/,200,"ene. 14, 2021",https://www.linkedin.com/company/red-dot-payment-pte-ltd,http://twitter.com/reddotpayment,,,https://tracxn.com/companies/5xyyLZww36XqscpfFMtw4dUQERZ6FZiYzMHtUPDCv2c/reddotpayment.com,"ene. 19, 2016",,,,,,,,,57.00,,,"Enterprise
Tech
Software","Consumer
Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
72,Foody,foody.vn,Restaurant search services in Vietnam,,2012,Ho Chi Minh City,Ho Chi Minh City,Vietnam,Yes,,7/28/2015,,,Acquired,793,Yes,seagroup.com,"sep. 28, 2017",2017,"64,000,000",Business Acquisition,No,4,"jun. 20, 2020",,,,Food Tech,Food Tech,Food Tech > Food Discovery and Ordering > Dine Out > Listing and Reviews > Restaurants > Crowdsourced,"CyberAgent Capital
Pix Vine Capital
CyberAgent
Tiger Global Management
Garena",,"Foody.vn is a free restaurant review app dedicated to help users find nearby restaurants with honest restaurant ratings and reviews by consumers and food critics. The app features a wide network of food restaurants ranging from restaurants, bars, cafes, bars, bakeries, and resorts in the local neighborhoods of Vietnam. Foody allows its members to submit image and text reviews and participate in an online evaluation based on 5 topics: food, location, space, and price and service.",Vietnam,,,"Yoni Livne; Co-Founder
Minh Dang; Founder & CEO; minhdang@foody.vn; http://vn.linkedin.com/in/hoangminhdang; CALOFIC, Vina Woman Vietnam  DCV - Dang Cap Viet, Easy IT Solutions  Swinburne University of Technology
Dai Nguyen; Co-founder & CT0; dainguyen@foody.vn; http://linkedin.com/in/dai-nguyen-37b35b78","minhdang@foody.vn
dainguyen@foody.vn","http://vn.linkedin.com/in/hoangminhdang
http://linkedin.com/in/dai-nguyen-37b35b78",http://www.linkedin.com/vsearch/p?f_CC=6459245,,,No,,,,,,,,,,,No,,,,,,,https://www.foody.vn,200,"ene. 12, 2021",https://www.linkedin.com/company/foody-corp,,http://facebook.com/foodyvietnam,,https://tracxn.com/companies/HTKXfkGpC1tkFropSr8cULXNasVDp1Kz4Eok0DczYsA/foody.vn,"sep. 15, 2015",,,,,,,,,54.63,,,"Tech
Consumer","Enterprise
Marketplace
SaaS","Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
116,Superdigital,superdigital.com.br,Internet first retail bank,,2017,Sao Paulo,Sao Paulo,Brazil,No,,NA,,,Acquired,,Yes,,"feb. 29, 2020",2020,"60,140,900",Business Acquisition,No,4,"mar. 11, 2020",,,,FinTech,Banking Tech,Banking Tech > Internet First Banks > Through Bank Partnerships > Retail Banking,,,"Superdigital is an internet first retail bank. Its services include savings account, physical/virtual prepaid cards, money transfers, bill payments, and more. It also provides an app-based platform to access banking services. The app is available on iOS and Android devices.",Brazil,,+55-40901450,"Felipe Castiglia; Co-CEO; felipe.castiglia@superdigital.com.br; https://linkedin.com/in/felipe-castiglia-0345588; ex-Santander Brasil, Blue Brazilian Airlines, HSBC. Parana Federal University 2004, Dom Cabral Foundation MBA 2015
Ezequiel Archipretre; Co-CEO; ezequiel.archipretre@superdigital.com.br; https://linkedin.com/in/ezequiel-archipretre-1b370618; ex-Grupo Santander Brasil. UADES","felipe.castiglia@superdigital.com.br
ezequiel.archipretre@superdigital.com.br","https://linkedin.com/in/felipe-castiglia-0345588
https://linkedin.com/in/ezequiel-archipretre-1b370618",,,,No,,,,,,,,,,,No,,,,,,,https://superdigital.com.br/,200,"ene. 16, 2021",https://linkedin.com/company/superdigitalbrasil,https://twitter.com/superdigitalbr,https://facebook.com/superdigitalbrasil,http://superdigital.com.br/blog,https://tracxn.com/companies/WLi38gs0hRoRegIDjW-SPThN4jyZcaeosZUCAD006oI/superdigital.com.br,"mar. 03, 2020",,,,,,,,,51.37,,,"Tech
Consumer
Software","Enterprise
Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
1035,Hub Prepaid,hubprepaid.com.br,Online payment solutions and prepaid card for businesses,,2015,Barueri,Estado De Sao Paulo,Brazil,No,,NA,,,Acquired,,Yes,magazineluiza.com.br,"dic. 22, 2020",2020,"56,589,800",Business Acquisition,No,3,"dic. 29, 2020",,,,FinTech,Payments,Payments > Consumer Payments > Payment Cards > Prepaid Cards > Gift,,,"Online payment solutions and prepaid cards for businesses. The offerings includes Hub Card, a prepaid card for corporates that can be used for both online/offline payments; Hub Fintech, to develop features for a prepaid card and payment solution through marketing, design, and technology; and Hub Risk, which helps mitigating payment frauds and transaction risks.",Brazil,,,Frederico Trajano; CEO; trajano@magazineluiza.com.br; https://linkedin.com/in/fernando-trajano-367a2147,trajano@magazineluiza.com.br,https://linkedin.com/in/fernando-trajano-367a2147,,,,No,,,,,,,,,,,No,,,,,,,https://hubprepaid.com.br/,200,"ene. 27, 2021",https://linkedin.com/company/hub-prepaid,,,,https://tracxn.com/companies/k4HpqLL6bnl_I5lL0TPFg0Jn5mF2wPkrqZh_IYSKnSA/hubprepaid.com.br,"dic. 24, 2020",,,,,,,,,18.15,,,"Tech
Enterprise
Software","Consumer
Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
1188,HPM Private Hospital,hpm-evya.com,Standalone multi-speciality hospital,,2016,Marrakesh,Marrakesh-Safi,Morocco,No,,NA,,,Acquired,,Yes,,"ago. 14, 2018",2018,"52,096,700",Business Acquisition,No,,,,,,,,,,,,Morocco,contact@hpm-evya.com,+212-800000080,,,,,,,No,,,,,,,,,,,No,,,,,,,http://www.hpm-evya.com,302,"ene. 24, 2021",,,https://facebook.com/hpmssrmarrakech,,https://tracxn.com/companies/n7WM7rUQZ6fwNrKE7Dwlkqat2UB_8UHtx1-0jql-WZ4/hpm-evya.com,"jun. 03, 2019",,,,,,,,,14.34,,,,,"Consumer
Enterprise
Marketplace
SaaS
Tech
Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
191,Magnetic MRO,magneticmro.com,Aviation maintenance services provider,,2014,Tallinn,Harju,Estonia,Yes,,NA,,,Acquired,,Yes,hangxin.com,"ene. 04, 2018",2018,"51,852,900",Business Acquisition,No,,,,,,,,,BaltCap,,"Magnetic MRO provides aviation maintenance services to its customers. Its services include heavy maintenance, line maintenance, engine solutions, spare parts and components, aircraft painting, interior designing, and engineering services. It also provides technical airline maintenance training along with light-weight replacement components and maintenance alternatives. Its customers include Primera Air, Rossiya, Ryan Air, Turkish Airlines, Onur Air, ASL Airlines, etc.",Estonia,aog@magneticmro.com,+372-6225000,Risto Maeots; CEO; risto.maeots@magneticmro.com; http://linkedin.com/in/risto-m%C3%A4eots-60658952; Ex-Air Maintenance Estonia. Tallinn University of Technology 2010,risto.maeots@magneticmro.com,http://linkedin.com/in/risto-m%C3%A4eots-60658952,http://www.linkedin.com/vsearch/p?f_CC=3862704,,,No,,,,"directmaintenance.aero
macinteriors.com",,,,,,,No,,,,,,,https://magneticmro.com/,200,"ene. 17, 2021",http://linkedin.com/company/magnetic-mro-as,http://twitter.com/magneticmro,http://facebook.com/magneticmro,,https://tracxn.com/companies/C3kuiaIKEfg-VmxlHHKZstHgWO5JOd_4k-QeIIb8BJw/magneticmro.com,"feb. 23, 2018",,,,,,,,,46.58,,,Enterprise,"Consumer
Marketplace
SaaS","Tech
Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
1000,LockandStore,lockandstore.com,Self-storage facilities provider in Singapore and Malaysia,,2011,Singapore,Singapore,Singapore,Yes,,NA,,,Acquired,,Yes,southerncapitalgroup.com,"jun. 01, 2010",2010,"50,000,000",Business Acquisition,No,,,,,,,,,I Kapital,,LockandStore is a self-storage service provider in that offers  short-and long-term storage facilities for households and businesses. Provides storage units with sizes ranging from 10sf to 200sf. Also offers serviced office space for start-ups and SMEs. Operates storage facilities in Singapore and Malaysia.,Singapore,,+65-62430600,"Helen Ng; CEO; helen.ng@lockandstore.com; http://linkedin.com/in/helen-ng-10503133; Chairman Self Storage Association Asia, CEO General Storage, ex- Ang Oon Hue. National University of Singapore BA 1994",helen.ng@lockandstore.com,http://linkedin.com/in/helen-ng-10503133,http://www.linkedin.com/vsearch/p?f_CC=1761625,,,No,,,,,,,,,,,No,,,,,,,https://www.lockandstore.com/sg-en/,200,"ene. 17, 2021",http://linkedin.com/company/general-storage-company-pte-ltd,http://twitter.com/lockandstoresg,http://facebook.com/lockandstore,http://lockandstore.wordpress.com,https://tracxn.com/companies/tltwhGQ6cIMNrAQBfDdByA2g9HsDPcDvZrj-6Nwe8I4/lockandstore.com,"feb. 20, 2017",,,,,,,,,19.13,,,"Consumer
Tech","Enterprise
Marketplace","SaaS
Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
1435,be3D,be3dprinters.com,3D printers based on FDM Technology,,2013,Prague,Hlavni Mesto Praha,Czech Republic,No,,NA,,,Acquired,,Yes,ysoft.com,"nov. 06, 2014",2014,"45,000,000",Business Acquisition,No,3,"jul. 25, 2019",,,,Technology,3D Printing,3D Printing > Hardware > 3D Printers > Horizontal,,,"Be3D develops 3D printers based on Fused Deposition Technology. They released 3 printers  DeeOrange, DeeGreen, and DeeRed out of which latter two are available. DeeGreen is a consumer desktop 3D printer with automated build plate levelling. DeeRed is large format 3D printer based on FDM technology with a build volume of 400*600*800 mm, intended for large and complex prints. Ydoft invested$2M and acquired 51% share in Be3D in Nov, 2014.",Czech Republic,,,"David Miklas; Founder & CEO; david.miklas@be3dprinters.com; http://linkedin.com/in/miklasdavid; ex - Founder & CEO of DO-IT s.r.o., and Tisknu3D",david.miklas@be3dprinters.com,http://linkedin.com/in/miklasdavid,,,,No,,,,,,,,,,,No,,,,,,,http://be3dprinters.com,-1,"ene. 16, 2021",,http://twitter.com/be3dprinters,,,https://tracxn.com/companies/NvmlXIdAqXtcGgb_8oE46BHXMUb70CYSNBw7SThRKC0/be3dprinters.com,"jul. 21, 2016",,,,,,,,,9.09,,,"Consumer
Tech","Enterprise
Marketplace
SaaS","Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
956,StarMed,starmedspecialist.com,Standalone ambulatory surgery center,,2018,Singapore,Singapore,Singapore,No,,NA,,,Acquired,,Yes,hmi.com.sg,"may. 14, 2018",2018,"40,000,000",Business Acquisition,No,,,,,,,,,,,,Singapore,info@starmedspecialist.com,+65-63226333,Louis Tan; CEO; https://linkedin.com/in/louis-tan-1a80bb3b,,https://linkedin.com/in/louis-tan-1a80bb3b,,,,No,,,,,,,,,,,No,,,,,,,https://starmedspecialist.com/,200,"ene. 31, 2021",,,,,https://tracxn.com/companies/ParMbuRGTT6piVzSLt0lLrjtYNJEZy7ixhhPRPeOGnM/starmedspecialist.com,"dic. 02, 2020",,,,,,,,,20.21,,,,,"Consumer
Enterprise
Marketplace
SaaS
Tech
Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
381,Warhorse studios,warhorsestudios.cz,Indie video game development company based in the Czech Republic,,2011,Prague,Hlavni Mesto Praha,Czech Republic,No,,NA,,,Acquired,,Yes,thqnordic.com,"feb. 13, 2019",2019,"37,504,900",Business Acquisition,No,3,"jul. 24, 2019",,,,Gaming,PC & Console Gaming,PC & Console Gaming > Game Developers > PC & Console Games > Core Games,,,"Warhorse Studios is an indie video game development company based in the Czech Republic. The company has developed developing ""Kingdom Come: Deliverance"" (a role-playing game for PC and console devices) and ""Kingdom Come: Deliverance – From the Ashes"". The games are available on the Steam and PlayStation Store. It generates revenue through paid games.",Czech Republic,,,"Martin Fryvaldsky; CEO; http://linkedin.com/in/martin-fryvaldsky-721a731; BM Management, ex-CEO Advanced World Transport. University of Economics 1992",,http://linkedin.com/in/martin-fryvaldsky-721a731,http://www.linkedin.com/vsearch/p?f_CC=2286430,,,No,,,,,,,,,,,No,,,,,,,https://warhorsestudios.cz/,200,"ene. 15, 2021",http://linkedin.com/company/warhorse-studios,http://twitter.com/warhorsestudios,http://facebook.com/warhorsestudios,,https://tracxn.com/companies/K3iA6vhFRs4W59iWA6_uz3APYUo5t7iBQJ51sV2p_rQ/warhorsestudios.cz,"jun. 13, 2016",,,,,,,,,38.56,,,"Consumer
Tech","Enterprise
Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence","Software
Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
64,Vindi,vindi.com.br,Subscription Billing solutions,,2013,Sao Paulo,,Brazil,Yes,"7,488,710",9/30/2019,$5M,"4,807,450",Acquired,408,Yes,locaweb.com.br,"nov. 11, 2020",2020,"33,405,300",Business Acquisition,No,4,"oct. 10, 2019",,,,"FinTech
FinTech","Payments
Finance & Accounting Tech","Payments > Business Payments > Bill Payments
Finance & Accounting Tech > Accounting Solutions > Quote to Cash > Subscription Accounting","Crescera Capital
Criatec 2
Confrapar",,"Vindi provides checkout API for B2B subscription billing and payments. It has partnered with various merchant acquirers. Services include recurring billing with plus Financial Services (invoice bills, NFe, reconcile cards), payment gateway (with acquirers and sub-acquirers), dashboards (KPI`s),  PCI compliance certification.",Brazil,,,"Rodrigo Dantas; Founder & CEO; rodrigo@vindi.com.br; http://linkedin.com/in/rodrigodantas; Founder - Assinaturas Day. Fellow - Brazil Innovators. Ex - Globo.com, Itaú Unibanco, Gerentes.com.br. Education - Stanford University",rodrigo@vindi.com.br,http://linkedin.com/in/rodrigodantas,http://www.linkedin.com/vsearch/p?f_CC=3221667,,,No,,,,,,,,,,,No,,,,,,,https://vindi.com.br/,200,"ene. 14, 2021",http://linkedin.com/company/vindi,https://twitter.com/vindi,,http://vindi.com.br/blog,https://tracxn.com/companies/3-FIY7QVTs9y4K1wfhJ1I55OAw9r2hjoE5NC5ozhnbM/vindi.com.br,"abr. 14, 2016",,,,,,,,,55.57,,,"SaaS
Tech
Enterprise
Software","Consumer
Marketplace
Tech Hardware
Social Impact
Artificial Intelligence
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
1216,TYME,tyme.com,Designs and builds digital banking ecosystems.,,2012,Johannesburg,Gauteng,South Africa,No,,NA,,,Acquired,,Yes,commbank.com.au,"feb. 11, 2015",2015,"31,170,400",Business Acquisition,No,,,,,,"Enterprise Infrastructure
FinTech
FinTech","Cybersecurity
Banking Tech
RegTech","Cybersecurity > Anti Fraud > Financial Fraud
Banking Tech > RegTech > Onboarding KYC and AML
RegTech > KYC",,,"TYME is a technology company based in South Africa building products and solutions for digital banking, esp. with the view of financial inclusion.The company has developed innovative KYC accreditation solutions that allow customers to open a simple bank account over their mobile phone or an unrestricted bank account from a remote location. The solutions are hosted separately from client but are fully integrable functionally.",South Africa,lucia@tyme.com,,"Rolf Eichweber; Co-Founder & CEO; rolf@tyme.com; http://za.linkedin.com/in/rolf-eichweber-82279714; ex-Gijima, Standard Bank, TPI Corporation, The Email Corporation, Deloitte South Africa. University of Johannesburg 2002, University of the Witwatersrand LLB 1996",rolf@tyme.com,http://za.linkedin.com/in/rolf-eichweber-82279714,http://www.linkedin.com/vsearch/p?f_CC=3260908,,,No,,,,,,,,,,,No,,,,,,,https://www.tyme.com,200,"ene. 14, 2021",http://linkedin.com/company/tyme,,,,https://tracxn.com/companies/4xw3sVTaIShqGRHkccaYGl8eUWEh1zsKRXMzNrLdnmo/tyme.com,"oct. 12, 2016",,,,,,,,,14.05,,,"Enterprise
Tech
Software","Consumer
Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
