,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
665,21,08/05/2015,HealthifyMe,Health & Fitness App,Bangalore,Micromax Informatics,Private Equity,N/A,Strategic Investment
666,22,12/05/2015,ZapStitch,Cloud Data Integration Platform,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"2,000,000",Pre-Series A
667,23,12/05/2015,Wassup,Mobile Laundry Cleaning Service,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"2,000,000",Pre-Series A
668,24,12/05.2015,Mobiefit,Mobile Fitness App,Goa,Prototyze,Seed Funding,N/A,
669,25,12/05.2015,Plancess,Online Education Platform,Mumbai,"Rajendra Gogri,  Chandrakant Gogri",Seed Funding,"2,000,000",
670,26,12/05/2015,WorkHorse,Service-On-Demand Mobile App,Mumbai,Undisclosed Investors,Seed Funding,N/A,
671,27,13/05/2015,Innovaccer,Intelligent Data Analytics,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,N/A,
672,28,13/05/2015,MyCuteOffice,Online Office Rental,Mumbai,Lead Angels,Seed Funding,N/A,
673,29,14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,Gurgaon,KJS Group,Private Equity,"5,000,000",Series B
674,30,14/05/2015,RedPolka,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,"250,000",
675,31,15/05/2015,Venturesity,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"270,000",
676,32,18/05/2015,TheBetterIndia.com,Online News Media,Bangalore,Mohandas Pai,Seed Funding,N/A,Pre-Series Bridge
677,33,18/05/2015,Awaaz De,Enterprise Communication Platform,Ahmedabad,Samir Shah,Seed Funding,N/A,
678,34,19/05/2015,Chaayos,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,"1,000,000",Series A
679,35,19/05/2015,Akosha,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series B
680,36,19/05/2015,Cooey,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,"470,000",
681,37,19/05/2015,MeetUniv,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,"1,000,000",
682,38,19/05/2015,Inspirock,Online Travel Planning,,MakeMyTrip Innovation Fund,Private Equity,N/A,
683,39,19/05/2015,Crown-it,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"5,500,000",Series A
684,40,19/05/2015,Trucksfirst,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,"10,000,000",Series A
685,41,20/05/2015,Lookup,B2C Messaging App,Bangalore,Biz Stone,Private Equity,"3,000,000",Series A
686,42,21/05/2015,SunTerrace,Rooftop Solar Plants,New Delhi,Sunergy Investors,Private Equity,N/A,
687,43,22/05/2015, Nudgespot,Customer Engagement Platform,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"625,000",
688,44,22/05/2015,CarDekho,Online Car Portal,Jaipur,HDFC Bank,Private Equity,N/A,1% stake
689,45,22/05/2015,EveningFlavors,Online Table Reservation,Bangalore,Sandiep Shrivatsava,Seed Funding,"500,000",
690,46,25/05/2015,Razorpay,Online Payment Gateway,Bangalore,Punit Soni,Seed Funding,N/A,
691,47,25/05/2015,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,"500,000",
692,48,25/05/2015,Newgen Payments,Payments Solution Provider,New Delhi,Jan Manten,Seed Funding,N/A,
693,49,26/05/2015,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,"2,000,000",Series A
694,50,26/05/2015,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,"200,000",
695,51,26/05/2015,Renderlogy,Online Home Décor,Hyderabad,Astarc Ventures,Private Equity,"1,000,000",Series A
696,52,27/05/2015,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,"1,000,000",Series A
697,53,27/05/2015,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"5,000,000",Series A
698,54,27/05/2015,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"180,000",
699,56,28/05/2015,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"240,000",
700,57,28/05/2015,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,"5,000,000",Series B Interim Funding
701,58,28/05/2015,Truweight,Weight Management Service,Hyderabad,Kalaari Capital,Private Equity,N/A,Series A
702,59,30/05/2015,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,"12,000,000",Series A
703,60,,,,,,,,
704,,,,,,,,,
705,1,01/3/2016,DriveU,Consumer Internet,Chauffeurs Discovery for private car owners,Bangalore,Unitus Seed Fund,Seed Funding,N/A
706,2,01/3/2016,Gympik,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Bangalore,RoundGlass Partners,Private Equity,N/A
707,3,01/3/2016,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,S Chand & Co,Private Equity,N/A
708,4,01/3/2016,IQlect,Technology,Big Data Analytics Platform,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",Private Equity,N/A
709,5,02/3/2016,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,"600,000"
710,6,02/3/2016,Skedool,Consumer Internet,AI based Office Assistant Mobile App,Seattle / Bangalore,"Kludein LLC
Phanindra Sama, Narayan Ramachandran, Pranav Pai",Seed Funding,N/A
711,7,02/3/2016,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,"1,400,000"
712,8,03/3/2016,Vertuals,Technology,Audio Visual Digital Content creators for Brands,Mumbai,Dino Morea,Seed Funding,N/A
713,9,03/3/2016,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,"1,000,000"
714,10,03/3/2016,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,"500,000"
715,11,04/3/2016,TinyStep,Consumer Internet,Parenting Social Network Platform,Bangalore,Matt Glickman,Private Equity,N/A
716,12,04/3/2016,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,"1,000,000"
717,13,04/3/2016,Arcatron Mobility,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",Seed Funding,N/A
718,14,04/3/2016,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,"150,000"
719,15,04/3/2016,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,N/A
720,16,04/3/2016,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,"100,000"
721,17,04/3/2016,Tarusa World,ECommerce,Handicraft products eTailer,Mumbai,Mohit Gulati,Seed Funding,N/A
722,18,04/3/2016,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,"4,000,000"
723,19,07/3/2016,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,"500,000"
724,20,07/3/2016,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,"3,000,000"
725,21,07/3/2016,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,"500,000"
726,22,07/3/2016,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,"250,000"
727,23,07/3/2016,Wooplr,ECommerce,Curated Fashion ECommerce portal,Bangalore,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",Seed Funding,N/A
728,24,07/3/2016,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,"100,000"
729,25,08/3/2016,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners India,Private Equity,N/A
730,26,08/3/2016,Cookaroo,Consumer Internet,Food Delivery Platform,Bangalore,Vijay Krishna Yadav,Seed Funding,N/A
731,27,08/3/2016,vPhrase Analytics,Technology,AI based data analytics platform,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others",Seed Funding,N/A
732,28,08/3/2016,LoveCycles,Consumer Internet,Women’s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,"750,000"
733,29,08/3/2016,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,"8,000,000"
734,30,08/3/2016,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,"650,000"
735,31,09/3/2016,Indiamart,ECommerce,B2B Marketplace for SMBs,Noida,Amadeus Capital,Private Equity,N/A
736,32,09/3/2016,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,"500,000"
737,33,09/3/2016,MyGubbi,Real Estate,Interior Design & Home Décor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,"2,500,000"
738,34,09/3/2016,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,"1,000,000"
739,35,09/3/2016,Cloudacar,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",Seed Funding,N/A
740,36,09/3/2016,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,"400,000"
741,37,09/3/2016,Yana,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",Seed Funding,N/A
742,38,10/3/2016,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,"11,100,000"
743,39,10/3/2016,Stylflip,ECommerce,Pre-Owned Fashion marketplace mobile app,Mumbai,"Raj Gala Shah, Zaheer Memon",Seed Funding,N/A
744,40,10/3/2016,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,"15,000,000"
745,41,10/3/2016,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,Seed Funding,"1,000,000"
746,42,11/3/2016,JollyFoodFellow,Technology,Food Related Marketing & Branding platform,Ahmedabad,Janak Parikh,Seed Funding,N/A
747,43,14/3/2016,PinkBlue,ECommerce,Medical Supplies eTailer,Bangalore,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed Funding,"223,608"
748,44,14/3/2016,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,Private Equity,"14,900,000"
749,45,14/3/2016,eSwasthya,Consumer Internet,Online Medicine Delivery Aggregator,Ahmedabad,Hemang Sahani,Seed Funding,N/A
750,46,15/3/2016,FlipClass,Consumer Internet,Tutor Search Platform,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,"1,000,000"
751,47,15/3/2016,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed Funding,"150,000"
752,48,15/3/2016,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed Funding,"250,000"
753,49,16/3/2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed Funding,"180,000"
754,50,16/3/2016,Avagmah,Consumer Internet,Online Education Portal,Bangalore,"Kris Gopalakrishnan, Atul Nishar",Seed Funding,N/A
755,51,16/3/2016,WorkIndia,Consumer Internet,Online Job Board,Mumbai,Beenext,Seed Funding,N/A
756,52,16/3/2016,Wealthy,Consumer Internet,Online Investment management portal,Bangalore,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed Funding,"250,000"
757,53,17/3/2016,Pramati,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,Seed Funding,"200,000"
758,54,17/3/2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,Seed Funding,"230,000"
759,55,17/3/2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed Funding,"800,000"
760,56,17/3/2016,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed Funding,"108,000"
761,57,18/3/2016,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,"1,500,000"
762,58,19/3/2016,goSporto,Consumer Internet,Online Sports discovery and booking platform,New Delhi,Naveen Gupta,Seed Funding,"30,000"
763,59,21/3/2016,OneClickWash,Consumer Internet,Online Laundry & Washing service Booking & Delivery,Gurgaon,Unitus Seed Fund,Seed Funding,N/A
764,60,21/3/2016,Girnar Software,Consumer Internet,Online News Media Network,Jaipur,Google Capital,Private Equity,N/A
765,61,21/3/2016,Room On Call,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,"2,000,000"
766,62,22/3/2016,Byju’s,Consumer Internet,Educational Video Content Creator,Bangalore,"Sequoia India, Sofina",Private Equity,"75,000,000"
767,63,22/3/2016,BigBasket,eCommerce,Online Grocery Shop,Bangalore,Abraaj Group,Private Equity,"150,000,000"
768,64,22/3/2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bangalore,"Indian Angel Network, Tracxn Labs & Others",Seed Funding,"600,000"
769,65,22/3/2016,Smartron,Technology,Internet of Things Device manufacturer,Bangalore,Sachin Tendulkar,Private Equity,N/A
770,66,22/3/2016,LifCare,Consumer Internet,Online Pharmacy portal,Jaipur,"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle",Seed Funding,N/A
771,67,22/3/2016,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed Funding,"360,000"
772,68,22/3/2016,CityShor,Consumer Internet,online lifestyle media recommendation portal,Ahmedabad,GAIN,Seed Funding,N/A
773,69,23/3/2016,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed Funding,"100,000"
774,70,23/3/2016,SP Robotics,Technology,Robotic Classes for Students,Chennai,"Indian Angel Network,",Seed Funding,"300,000"
775,71,23/3/2016,StalkBuyLove,eCommerce,Fashion eTailer,New Delhi,"500 Startups, Littlerock, Singularity Ventures",Seed Funding,N/A
776,72,23/3/2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,"330,000"
777,73,23/3/2016,HashLearn,Consumer Internet,Mobile based private tutoring services,,"Bhavish Aggarwal, Binny Bansal,  Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network",Seed Funding,N/A
778,74,23/3/2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bangalore,Broadbean Capital services,Private Equity,"500,000"
779,75,24/3/2016,Horntell,Consumer Internet,Unified Push Notification service,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed Funding,"150,000"
780,76,28/3/2016,Schoolkart,eCommerce,Online Marketplace for Schools,Noida,Undisclosed investors,Seed Funding,"300,000"
781,77,29/3/2016,HealthEminds,Consumer Internet,Online mental healthcare,Bangalore,Robin Utthappa,Seed Funding,N/A
782,78,29/3/2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Seed Funding,"300,000"
783,79,29/3/2016,Veritas Finance,Finance,Asset Based Lending platform,Chennai,Sarva Capital,Private Equity,"4,700,000"
784,80,29/3/2016,QikShip,Consumer Internet,Mobile based Logistics provider,New Delhi,undisclosed investors,Seed Funding,"200,000"
785,81,29/3/2016,FixNix,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,Seed Funding,"500,000"
786,82,30/3/2016,True Balance,Technology,Mobile Balance Check App,Gurgaon,SoftBank Ventures Korea,Private Equity,N/A
787,83,30/3/2016,Touchkin,Healthcare,Predictive Healthcare platform,Bangalore,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",Seed Funding,"400,000"
788,84,31/3/2016,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Mumbai,"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria",Seed Funding,N/A
789,85,31/3/2016,Transcell,Healthcare,Family Stem Cell Banking Services,Hyderabad,Indian Angel Network,Seed Funding,N/A
790,87,,,,,,,,
791,88,,,,,,,,
792,1,02/05/2018,OpenTap,Finance,Online Lending Platform,Chennai, Unknown High Net-Worth Individuals,Seed / Angel Funding,"4,50,000"
793,2,02/05/2018,Bizongo,Consumer Internet,Aggregator For Packaging Material ,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,"2,2000,000"
794,3,03/05/2018,Disprz,IT,SaaS ,Chennai," IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,"25,00,000"
795,4,07/05/2018,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,N/A,Seed / Angel Funding,"225,000"
796,5,09/05/2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,"1,000,000"
797,6,11/05/2018,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,"949,000"
798,7,14/05/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"24,000,000"
799,8,16/05/2018,mfine,Healthcare,Doctor-Consultation App,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal ",Private Equity,4200000
800,9,21/05/2018,Rocketium,Technology, Online Video Creation Platform,Bengaluru,Blume ventures,Seed/ Angel Funding,"300,000"
801,10,21/05/2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,"7,000,000"
802,11,22/05/2018,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,"500,000"
803,12,22/05/2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Funding,"735,000"
804,13,23/05/2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Funding,"735,000"
805,14,23/05/2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,"2,000,000"
806,15,24/05/2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,"2,000,000"
807,16,24/05/2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,"293,000"
808,17,27/05/2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,"12,000,000"
809,18,28/05/2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd ",Seed/ Angel Funding,"200,000"
810,19,29/05/2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,"15,00,000"
811,20,29/05/2018,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,"80,00000"
812,21,30/05/2018,Events High,Consumer Internet ,Events and Activities Discovery Platform,Bengaluru,Treebo,Private Equity,N/A
813,22,30/05/2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT ",Private Equity,"14,000,000"
814,23,31/05/2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,"13,000,00"
815,1,02/01/2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"366,000"
816,2,03/01/2017,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,"825,000"
817,3,03/01/2017,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,N/A
818,4,03/01/2017,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,N/A
819,5,04/01/2017,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,N/A
820,6,05/01/2017,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,N/A
821,7,05/01/2017,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,N/A
822,8,06/01/2017,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"13,000,000"
823,9,07/01/2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,"57,000,000"
824,10,09/01/2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,"35,000,000"
825,11,10/01/2017,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,"800,000"
826,12,10/01/2017,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,"5,000,000"
827,13,10/01/2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"2,250,000"
828,14,10/01/2017,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,N/A
829,15,10/01/2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"100,000"
830,16,10/01/2017,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,"3,500,000"
831,17,11/01/2017,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,N/A
832,18,12/01/2017,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,"1,350,000"
833,19,12/01/2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,"10,000,000"
834,20,13/01/2017,Roambee,Technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,"4,100,000"
835,21,13/01/2017,PaisaWapas,Consumer Internet,Cashback & Coupons platform,Bangalore,Vividhity Ventures,Seed Funding,N/A
836,22,13/01/2017,iService,Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"440,000"
837,23,14/01/2017,Unacademy,Consumer Internet,Online learning platform,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"4,500,000"
838,24,14/01/2017,SecururAX,Technology,Cloud-based solutions provider,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,N/A
839,25,16/01/2017,Leadburg,Consumer Internet,Personality Development Mobile App,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,N/A
840,26,16/01/2017,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,"5,000,000"
841,27,16/01/2017,Oi Media,Technology,SAAS Based Media Marketing platform,New Delhi,Quarizon,Seed Funding,N/A
842,28,16/01/2017,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,"700,000"
843,29,17/01/2017,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"800,000"
844,30,17/01/2017,TinyStep,Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,"2,000,000"
845,31,17/01/2017,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"Tencent,  ru-Net, RSI Fund, Thrive Capital",Private Equity,"55,000,000"
846,32,17/01/2017,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,"441,000"
847,33,17/01/2017,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,"500,000"
848,34,17/01/2017,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,"147,000"
849,35,18/01/2017,Kratikal,Technology,Cyber Security Solution provider,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed Funding,N/A
850,36,18/01/2017,Direct Create,eCommerce,B2B Marketplace for Handicrafts,Gurgaon,Rajasthan Venture Capital Fund,Seed Funding,N/A
851,37,18/01/2017,Vahdam Teas,eCommerce,Online Tea etailer,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"650,000"
852,38,18/01/2017,Qwikspec,Technology,Cloud-based construction,Bangalore,Undisclosed Investors,Seed Funding,"300,000"
853,39,19/01/2017,PParke,Consumer Internet,Parking Solutions mobile app,Bangalore,SB Ventures,Seed Funding,N/A
854,40,19/01/2017,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,"1,000,000"
855,41,19/01/2017,Native Special,eCommerce,Indian Sweets & Snacks etailer,Karur,"Indian Angel Network, Native Angels Network",Seed Funding,N/A
