Name,Profile URL,Signal,Location,Market,Website,Employees,Stage,Total Raised,Joining_Month,Joining_Year,latitude,longitude
FlyElephant,https://angel.co/company/flyelephant,4,Odessa,High Performance Computing,http://flyelephant.net,1-10,,,Jun ,2013,46.4873195,30.7392776
nanopop,https://angel.co/company/nanopop,3,Rio de Janeiro,Market Research,http://www.nanopop.com.br,1-10,,,Jul ,2013,-22.9110137,-43.2093727
Slemma,https://angel.co/company/slemma,4,Los Angeles,Small and Medium Businesses,https://slemma.com,11-50,,,Dec ,2013,34.0536909,-118.2427666
MULTICHANNEL,https://angel.co/company/multichannel-1,5,Mountain View,Advertising Platforms,http://www.multichannel.net,1-10,Seed,3000000,Nov ,2013,37.3893889,-122.0832101
Survmetrics,https://angel.co/company/survmetrics,5,Mountain View,Performance Marketing,http://www.survmetrics.com,1-10,Acquired,,Sep ,2013,37.3893889,-122.0832101
Snoobe,https://angel.co/company/snoobe,3,Montreal,Comparison Shopping,http://www.snoobe.com,1-10,Seed,390000,Jun ,2013,45.4972159,-73.6103642
Fylet,https://angel.co/company/fylet,3,Ljubljana,,http://fylet.com,1-10,Seed,41000,Jun ,2013,46.0498146,14.5067824
Goomoods,https://angel.co/company/goomoods,3,Reno,Mobile Games,http://www.goomoods.com,1-10,,,Aug ,2013,51.83706805,6.17787929192103
Rubikloud ,https://angel.co/company/rubikloud,5,Toronto,Cloud Data Services,http://www.rubikloud.com,51-200,,7000000,Aug ,2013,43.653963,-79.387207
Kipsis,https://angel.co/company/kipsis,3,London,Social Media,http://www.kipsis.com,1-10,,,Dec ,2013,51.5073219,-0.1276474
Aptitude Staffing Solutions,https://angel.co/company/aptitude-staffing-solutions,4,San Francisco,Temporary Staffing,http://www.aptitudestaffing.com,,,,Jun ,2013,37.7792808,-122.4192363
Filament,https://angel.co/company/filamenthq,5,Reno,Industrial Automation,http://filament.com,11-50,Series A,21000000,Apr ,2013,51.83706805,6.17787929192103
Bloomlife,https://angel.co/company/bloom-technologies,5,San Francisco,Women-Focused,http://www.bloomlife.com,11-50,Seed,6000000,Aug ,2014,37.7792808,-122.4192363
Lingonautics,https://angel.co/company/lingonautics,4,San Francisco,Social Media Platforms,http://www.lingonautics.com,,,,Dec ,2014,37.7792808,-122.4192363
Stylizr,https://angel.co/company/stylizr,4,Manila,Mobile Commerce,http://www.stylizrapp.com,1-10,,,Jan ,2014,14.5906216,120.9799696
Praedict.IO,https://angel.co/company/praedict-io,2,Miami,Investment Management,http://praedict.io,1-10,,,Aug ,2014,25.7742658,-80.1936589
ShopShopMe,https://angel.co/company/shopshopme,4,Dubai,Big Data,http://www.shopshopme.com,1-10,,,May ,2014,25.0750095,55.1887608818332
Dazzmobile,https://angel.co/company/dazzmobile,4,Boston,Corporate Training,http://www.dazzmobile.com,1-10,,,Dec ,2014,42.3602534,-71.0582912
Thoughty,https://angel.co/company/thoughty,3,Los Angeles,Social Media,http://thoughtyapp.com,1-10,,,Apr ,2014,40.7127281,-74.0060152
Wineta,https://angel.co/company/wineta,4,,Wine And Spirits,http://www.wineta.com,1-10,,,Jun ,2014,34.220389,70.3800314
Square Metrics ,https://angel.co/company/beaconinside,4,Berlin,Location Based Services,https://www.squaremetrics.com,11-50,,,Dec ,2014,52.5170365,13.3888599
OnTone,https://angel.co/company/ontone-1,3,Hamburg,Emotions,http://www.OnTone.de,1-10,,,Apr ,2014,53.550341,10.000654
E4 Technologies,https://angel.co/company/e4-technologies,3,Pakistan,Internet of Things,http://www.e4technologies.net,11-50,,,Nov ,2014,30.3308401,71.247499
Enso.fm,https://angel.co/company/enso-1,3,Sofia,Mobile Advertising,http://enso.fm,1-10,,,Dec ,2014,42.6978634,23.3221789
CityBldr,https://angel.co/company/citybldr,4,Seattle,Commercial Real Estate,http://citybldr.com,11-50,,,Jul ,2014,47.6038321,-122.3300624
Amida Technology Solutions,https://angel.co/company/amida,4,Washington DC,Open Source,https://www.amida.com,11-50,,,Mar ,2014,38.8950092,-77.0365625
Bolo Software,https://angel.co/company/bolo-software,4,San Francisco,Public Relations,http://www.BoloHQ.com,1-10,,,Sep ,2014,37.7792808,-122.4192363
SmileyGo,https://angel.co/company/smileygo,4,San Francisco,SaaS,https://www.smileygo.net,1-10,,,Sep ,2014,37.7792808,-122.4192363
Collective[i],https://angel.co/company/collective-i-1,4,New York City,,http://www.collectivei.com,11-50,,,Oct ,2014,40.7127281,-74.0060152
Scena,https://angel.co/company/nativer-2,3,Tel Aviv-Yafo,Reviews and Recommendations,http://www.thescena.com,1-10,,,Nov ,2014,32.0804808,34.7805274
Resumazing,https://angel.co/company/resumazing,4,Troy,Big Data,http://www.resumazing.net,1-10,,,Nov ,2014,39.95737395,26.2380174610116
ZetData,https://angel.co/company/zetdata,4,San Jose,Cloud Computing,http://www.datacanvas.io,1-10,,,Jun ,2014,37.3361905,-121.8905833
Suggestic,https://angel.co/company/suggestic,4,San Francisco,Augmented Reality,http://www.suggestic.com,11-50,,,Sep ,2014,37.7792808,-122.4192363
Obsessory,https://angel.co/company/obsessory,3,,Semantic Search,http://www.obsessory.com,11-50,,,Oct ,2014,34.220389,70.3800314
Kono.ai,https://angel.co/company/kono,5,San Francisco,SaaS,https://kono.ai,11-50,Seed,980000,Nov ,2014,37.7792808,-122.4192363
TaDuler,https://angel.co/company/taduler,3,Calgary,Local Services,http://www.taduler.com,1-10,Seed,221000,Sep ,2014,51.02532675,-114.049868485806
Troo.ly,https://angel.co/company/troo-ly,5,Silicon Valley,Peer-to-Peer,http://troo.ly,1-10,,,Jan ,2014,37.4429964,-122.1545229
FreeWire Technologies,https://angel.co/company/freewire,5,San Leandro,Electric Vehicles,http://www.freewiretech.com,11-50,Series A,16765000,Jul ,2014,37.7249296,-122.1560768
Inbify,https://angel.co/company/inbify,3,Puerto Rico,Hospitality,http://inbify.com/,1-10,,,Nov ,2014,18.22141715,-66.4132818505648
Jobscan,https://angel.co/company/jobscan,4,Seattle,Consumer,http://www.jobscan.co,11-50,,,Jan ,2014,47.6038321,-122.3300624
OMNI Retail Group,https://angel.co/company/omni-retail-group,4,Seattle,Semantic Search,http://www.omniretailgroup.com,1-10,Seed,1750000,Apr ,2014,47.6038321,-122.3300624
4PIA,https://angel.co/company/4pia,4,Menlo Park,Politics,http://www.4pia.com,1-10,,,Apr ,2014,37.4519671,-122.1779927
Horus Technology,https://angel.co/company/horus-technology,3,Milan,Computer Vision,http://horus.technology,1-10,Seed,900000,Sep ,2014,45.4668,9.1905
DoubleMe,https://angel.co/company/doubleme,4,San Jose,Virtual Goods,http://www.doubleme.me,1-10,Seed,225000,Feb ,2014,37.3361905,-121.8905833
HoloBuilder,https://angel.co/company/holobuilder,4,San Francisco,Construction,https://www.HoloBuilder.com,11-50,Seed,600000,Aug ,2014,37.7792808,-122.4192363
Dotaprohub,https://angel.co/company/dotaprohub,4,Gurgaon,Statistic Analysis,http://dotaprohub.com,1-10,Acquired,115000,Aug ,2014,28.4646148,77.0299194
visalyze,https://angel.co/company/visalyze,3,Innsbruck,Social Media Marketing,http://www.visalyze.com,11-50,,1485000,Jan ,2014,47.26951525,11.3971372042211
MobiusBobs ,https://angel.co/company/mobiusbobs,3,Taipei,Crowdsourcing,http://www.mobiusbobs.com,1-10,,100000,Feb ,2014,25.0375198,121.5636796
PingFlow,https://angel.co/company/pingflow,3,Lille,Supply Chain Management,http://www.pingflow.fr/en,11-50,,,Dec ,2014,50.6365654,3.0635282
LensBricks,https://angel.co/company/lensbricks,5,San Francisco,Small and Medium Businesses,http://www.vidalife.info,1-10,Seed,1000000,Nov ,2014,37.7792808,-122.4192363
Numina,https://angel.co/company/numina,5,Brooklyn,Sensors,http://numina.co,11-50,,,May ,2014,40.6501038,-73.9495823
Augary,https://angel.co/company/augary,5,New York City,Computer Vision,http://www.augary.com,1-10,Seed,,Jan ,2014,40.7127281,-74.0060152
iPourIt,https://angel.co/company/ipourit,5,,Loyalty Programs,http://www.ipouritinc.com,1-10,Seed,800000,Feb ,2014,34.220389,70.3800314
Groopify,https://angel.co/company/groopify,4,Madrid,Online Dating,http://www.groopify.me/,11-50,Seed,1465000,May ,2014,40.4167047,-3.7035825
Placenote,https://angel.co/company/verticalai,5,Kitchener,Robotics,http://placenote.com,1-10,Seed,1500000,Aug ,2014,43.453168,-80.494423
Ingen.io,https://angel.co/company/ingen-io-1,4,Prague,Big Data,http://ingen.io,1-10,Seed,306974,Feb ,2014,50.0874654,14.4212535
Tracktics,https://angel.co/company/tracktics,3,,Tracking,http://www.tracktics.com,1-10,Seed,,Oct ,2014,34.220389,70.3800314
Soundytics,https://angel.co/company/soundytics,3,Luxembourg,Retail Technology,http://soundytics.com,,Seed,150000,Nov ,2014,49.8158683,6.1296751
LinQMart,https://angel.co/company/linqmart-1,1,Bengaluru,Advertising Platforms,http://www.linqmart.com,1-10,Series A,20000,Sep ,2014,12.9791198,77.5912997
Zoomer,https://angel.co/company/zoomer,5,San Francisco,Logistics,http://zoomerdelivery.com,201-500,Acquired,,Oct ,2014,37.7792808,-122.4192363
Dil Mil,https://angel.co/company/gravitygroup,5,San Francisco,Online Dating,http://dilmil.co,1-10,Acquired,4000000,May ,2014,37.7792808,-122.4192363
AppZen,https://angel.co/company/appzen,5,San Jose,Finance Technology,http://www.appzen.com,51-200,Series C,102500000,Apr ,2014,37.3361905,-121.8905833
ClipMine,https://angel.co/company/clipmine,5,Palo Alto,Video,http://clipmineinc.com,1-10,Acquired,1500000,Mar ,2014,37.4443293,-122.1598465
Smarking,https://angel.co/company/smarking,5,San Francisco,Predictive Analytics,http://www.smarking.com,11-50,Seed,3000000,Dec ,2014,37.7792808,-122.4192363
Sutro,https://angel.co/company/sutro,5,San Francisco,Mobile Commerce,https://mysutro.com,1-10,,,Aug ,2014,37.7792808,-122.4192363
CanvasJS,https://angel.co/company/canvasjs,3,Bengaluru,Data Visualization,http://canvasjs.com/,1-10,,,Mar ,2014,12.9791198,77.5912997
Movyl,https://angel.co/company/movyl-entertainment,4,San Francisco,Digital Media,http://www.movyl.us,11-50,,,Jan ,2014,37.7792808,-122.4192363
simMachines,https://angel.co/company/simmachines-1,4,Chicago,Bioinformatics,http://simmachines.com,1-10,,,May ,2014,41.8755616,-87.6244212
eCommerce,https://angel.co/company/ecommerce-6,4,Bengaluru,E-Commerce,http://worksource.wordpress.com,51-200,,,Jun ,2014,12.9791198,77.5912997
GoBeMe,https://angel.co/company/gobeme,4,San Francisco,Training,http://gobe.me,11-50,Seed,800000,Feb ,2014,37.7792808,-122.4192363
Eternime,https://angel.co/company/eternime,4,San Francisco,Social Network,http://eterni.me,1-10,Seed,40000,Apr ,2014,37.7792808,-122.4192363
moment | M,https://angel.co/company/moment-m,4,Irvine,Global,http://www.momentm.com,1-10,Seed,500000,Jun ,2014,55.6143121,-4.6655591
Coinigy,https://angel.co/company/coinigy,4,Milwaukee,Blockchains,https://www.coinigy.com,1-10,Seed,100000,Jun ,2014,43.0349931,-87.922497
Singular,https://angel.co/company/singular,3,Valencia,Augmented Reality,http://www.i-singular.com,1-10,Seed,15000,Feb ,2014,39.4699014,-0.3759513
Aetho,https://angel.co/company/aetho,3,Savannah,Robotics,http://aetho.co,1-10,Seed,,Jun ,2014,32.0809263,-81.0911768
Ikarus,https://angel.co/company/ikarus-ai,3,Gurgaon,SaaS,http://ikarus.ai/,11-50,,250000,Oct ,2014,28.4646148,77.0299194
Swimmo,https://angel.co/company/swimmo,3,,Fitness,http://www.swimmo.com,11-50,Seed,120000,Dec ,2014,34.220389,70.3800314
Qurater,https://angel.co/company/qurater,4,Bengaluru,Ad Targeting,http://www.qurater.com,1-10,Seed,50000,Jan ,2014,12.9791198,77.5912997
ROBAUTO,https://angel.co/company/robauto,3,Boulder,Robotics,http://robauto.ai,1-10,,50000,Nov ,2014,40.0149856,-105.2705456
getfittter,https://angel.co/company/getfittter,4,Dallas,Fitness,http://getfittter.com/,1-10,Seed,30000,Mar ,2014,32.7762719,-96.7968559
Datalytics,https://angel.co/company/datalytics,3,Rome,Real Time,http://www.datalytics.it,1-10,Seed,225000,Apr ,2014,41.894802,12.4853384
Kappo,https://angel.co/company/kappo,4,Santiago,Gamification,http://www.kappo.bike,1-10,Seed,70000,Mar ,2014,-33.4377968,-70.6504451
Gpredictive,https://angel.co/company/gpredictive,4,Hamburg,Predictive Analytics,http://www.gpredictive.com,11-50,Seed,3030000,Apr ,2014,53.550341,10.000654
Episona,https://angel.co/company/episona,4,Los Angeles,Medical Devices,http://episona.com,1-10,Seed,1375000,Jan ,2014,34.0536909,-118.2427666
Crate.io,https://angel.co/company/crate-io,4,San Francisco,Databases,https://crate.io,11-50,Seed,6000000,Oct ,2014,37.7792808,-122.4192363
FinGenius,https://angel.co/company/fingenius,3,London,Finance Technology,http://www.fingenius.com,1-10,Seed,500000,Apr ,2014,51.5073219,-0.1276474
Wyzerr,https://angel.co/company/wyzerr,4,Cincinnati,Big Data Analytics,http://www.Wyzerr.com,11-50,Seed,1800000,Jul ,2014,39.1014537,-84.5124602
Accomplice,https://angel.co/company/accomplice,5,San Francisco,Advertising Platforms,http://www.accomplice.io,11-50,Series A,7000000,Feb ,2014,37.7792808,-122.4192363
Snips,https://angel.co/company/snips,5,Paris,Internet of Things,http://www.snips.ai,51-200,Series A,19300000,Dec ,2014,48.8566101,2.3514992
Accern,https://angel.co/company/accerncorp,4,New York City,Big Data Analytics,http://www.accern.com,11-50,,4435000,Jan ,2014,40.7127281,-74.0060152
Barricade,https://angel.co/company/barricade,5,Austin,Technology,https://barricade.io,11-50,Seed,1200000,Nov ,2014,30.2711286,-97.7436995
Querium,https://angel.co/company/querium,4,Austin,Training,http://querium.com,1-10,Series A,2508200,Apr ,2014,30.2711286,-97.7436995
Kanjoya ,https://angel.co/company/kanjoya,5,San Francisco,Text Analytics,http://www.kanjoya.com,11-50,Acquired,,Apr ,2014,37.7792808,-122.4192363
Scout Finance,https://angel.co/company/scout-finance,5,New York City,Finance Technology,http://www.scoutfin.com,1-10,Acquired,3500000,Apr ,2014,40.7127281,-74.0060152
Humanrank,https://angel.co/company/humanrank,4,Redwood City,Social Recruiting,http://humanrank.us,11-50,Seed,120000,Mar ,2014,37.4863239,-122.2325233
Cyntient,https://angel.co/company/cyntient,4,Seattle,Mobile Games,http://www.cyntient.com,1-10,Seed,1340000,Feb ,2014,47.6038321,-122.3300624
Routier,https://angel.co/company/routier,4,Tel Aviv-Yafo,Advertising Platforms,http://www.routier.io,1-10,Seed,20000,Nov ,2014,32.0804808,34.7805274
invisu.me,https://angel.co/company/invisu-me,4,Sunnyvale,Startups,http://www.invisu.me,1-10,Seed,100000,Aug ,2014,37.3688301,-122.0363496
Sense Chat (Sensay) ,https://angel.co/company/sensay,5,Los Angeles,Messaging,http://makesense.com,11-50,Seed,6000000,Mar ,2014,34.0536909,-118.2427666
LikeCharity,https://angel.co/company/likecharity,5,Raleigh,Nonprofits,http://www.likecharity.com,11-50,Seed,1250000,Jun ,2014,35.7803977,-78.6390989
Catalia Health,https://angel.co/company/catalia-health,5,San Francisco,Medication Adherence,http://cataliahealth.com/,11-50,Seed,7750000,Oct ,2014,37.7792808,-122.4192363
Agent Ace,https://angel.co/company/agent-ace,4,Santa Monica,Big Data Analytics,http://agentace.com,11-50,Acquired,6000000,Jan ,2014,34.0250724,-118.4965129
RedOwl Analytics,https://angel.co/company/redowl-analytics,5,Baltimore,Analytics,https://redowl.com/,51-200,Acquired,24500000,Feb ,2014,39.2908816,-76.610759
Zymergen,https://angel.co/company/zymergen,5,Emeryville,Robotics,http://zymergen.com,501-1000,Series C,576000000,Jan ,2014,37.8314089,-122.2865266
THRONE,https://angel.co/company/thronexyz,4,New York City,Mobile Commerce,http://www.THRONE.xyz,1-10,,,Jul ,2014,40.7127281,-74.0060152
Fundmetric,https://angel.co/company/fundmetric,4,Halifax,Nonprofits,http://www.fundmetric.com,1-10,Seed,300000,Feb ,2014,53.7229229,-1.8604874
Yoco,https://angel.co/company/yoco,4,Johannesburg,Mobile Commerce,http://www.yoco.co.za,51-200,,17650000,Apr ,2014,-26.205,28.049722
Rollio,https://angel.co/company/rollio,4,New York City,SaaS,http://Rollioforce.com,1-10,Seed,670000,May ,2014,40.7127281,-74.0060152
BlueFox.io,https://angel.co/company/bluefox,4,Sunnyvale,Retail,http://www.bluefox.io,11-50,Series A,7000000,Feb ,2014,37.3688301,-122.0363496
Appinions,https://angel.co/company/appinions-1,5,New York City,Social Media Marketing,http://www.appinions.com,11-50,Series A,5600000,Feb ,2014,40.7127281,-74.0060152
Reactful,https://angel.co/company/reactful,5,San Francisco,Predictive Analytics,http://www.Reactful.com,1-10,Seed,970000,Apr ,2014,37.7792808,-122.4192363
Neoma,https://angel.co/company/neoma-1,3,Hong Kong,Location Based Services,http://www.neoma.ai,11-50,Seed,,Nov ,2014,22.350627,114.1849161
Kontest,https://angel.co/company/kontest,3,France,Social Media Marketing,http://kontestapp.com,11-50,Seed,833500,Aug ,2014,46.603354,1.8883335
UnaliWear,https://angel.co/company/unaliwear,4,Austin,Medical Devices,http://www.unaliwear.com,11-50,,4600000,Feb ,2014,30.2711286,-97.7436995
Kompyte,https://angel.co/company/kompyte,4,San Francisco,Marketing Research,http://www.kompyte.com,11-50,,480000,Jul ,2014,37.7792808,-122.4192363
Funded City,https://angel.co/company/fundedcity,3,London,Crowdfunding,http://fundedcity.com,1-10,Seed,575000,Aug ,2014,51.5073219,-0.1276474
Filmijob,https://angel.co/company/filmijob,3,Madrid,Human Resources,http://www.filmijob.com,1-10,Seed,70000,Sep ,2014,40.4167047,-3.7035825
Stellup,https://angel.co/company/stellup,4,San Francisco,Universities,https://www.stellup.com,11-50,Seed,200000,Oct ,2014,37.7792808,-122.4192363
Industry,https://angel.co/company/industry,3,San Diego,Hospitality,https://www.industry.co,1-10,,2300000,Oct ,2014,40.7127281,-74.0060152
DigitalMR,https://angel.co/company/digitalmr,3,London,Fast-Moving Consumer Goods,http://www.digital-mr.com,11-50,Seed,1020000,Mar ,2014,51.5073219,-0.1276474
8Bit ,https://angel.co/company/8bit,3,,Content Discovery,http://www.get8bit.com,1-10,Seed,110000,Sep ,2014,34.220389,70.3800314
Groop,https://angel.co/company/groop,4,Berlin,Algorithms,http://www.groop.co,1-10,Seed,50000,Jan ,2014,52.5170365,13.3888599
Realytics,https://angel.co/company/realytics,4,Paris,Online Video Advertising,https://www.realytics.io,11-50,Seed,500000,May ,2014,48.8566101,2.3514992
Gastrofy,https://angel.co/company/gastrofy,4,Stockholm,Groceries,http://www.gastrofy.se,1-10,Seed,456000,Jan ,2014,59.3251172,18.0710935
Carvechi Technology ,https://angel.co/company/carvechi,3,Miami,Entertainment Industry,http://www.carvechitechnology.com,11-50,Seed,300000,Oct ,2014,25.7742658,-80.1936589
WOO Sports,https://angel.co/company/woo-sports,5,Boston,Gamification,http://www.woosports.com,1-10,Series A,4300000,Apr ,2014,42.3602534,-71.0582912
Remesh,https://angel.co/company/remesh,4,Cleveland,Market Research,http://remesh.ai,11-50,Series A,13825000,Dec ,2014,41.5051613,-81.6934446
Presdo,https://angel.co/company/presdo,5,Mountain View,Events,http://presdo.com,1-10,Seed,2960000,Jun ,2014,37.3893889,-122.0832101
LuminaCare Solutions,https://angel.co/company/luminacare-solutions,4,Boston,Hospitals,http://www.luminacaresolutions.com,1-10,,,Mar ,2014,42.3602534,-71.0582912
Luciding,https://angel.co/company/luciding,4,San Francisco,Neuroscience,http://luciding.com,11-50,,,Aug ,2014,37.7792808,-122.4192363
the Scaffold,https://angel.co/company/the-scaffold,4,New York City,Predictive Analytics,https://www.thescaffold.com,1-10,,,Feb ,2014,40.7127281,-74.0060152
Change My Path,https://angel.co/company/change-my-path,5,San Francisco,Training,http://www.changemypath.com,1-10,,,Sep ,2014,37.7792808,-122.4192363
AdvisorConnect,https://angel.co/company/advisorconnect,5,New York City,Finance Technology,http://www.advisorconnect.co,11-50,,,Feb ,2014,40.7127281,-74.0060152
Fusemachines,https://angel.co/company/fusemachines,5,New York City,Artificial Intelligence,https://www.fusemachines.com,51-200,,,Mar ,2014,40.7127281,-74.0060152
Optimity,https://angel.co/company/myoptimity,5,San Francisco,Insurance,http://www.myoptimity.com,11-50,,,Mar ,2014,37.7792808,-122.4192363
Masterscroll,https://angel.co/company/masterscroll,3,London,Content Curation,http://www.masterscroll.com,1-10,,,Apr ,2014,51.5073219,-0.1276474
Clarifai,https://angel.co/company/clarifai,5,Tysons,Photo Sharing,http://clarifai.com,51-200,,40000000,May ,2014,38.918592,-77.2314723
BetterUp,https://angel.co/company/betterup,5,San Francisco,Corporate Training,http://www.betterup.co,51-200,Series A,12900000,Jun ,2014,37.7792808,-122.4192363
Vouch Financial,https://angel.co/company/vouch-financial,5,San Francisco,Financial Services,https://vouch.com,11-50,,9000000,Jun ,2014,37.7792808,-122.4192363
SEE-R,https://angel.co/company/see-r,3,Rome,Predictive Analytics,http://www.see-r.com,1-10,,,Mar ,2014,41.894802,12.4853384
curious.IO,https://angel.co/company/curiousio,3,,SaaS,http://curious.io,1-10,,,Dec ,2014,34.220389,70.3800314
aiworker,https://angel.co/company/aiworker,3,Kyivs'ka oblast,Human Computer Interaction,http://aiworker.com,1-10,,,Feb ,2014,50.178595,30.4924884
SentiMeasure,https://angel.co/company/sentimeasure,3,Sydney,Finance Technology,http://sentimeasure.com,1-10,,,Feb ,2014,-33.8548157,151.2164539
FluxBand,https://angel.co/company/fluxband,4,Sunnyvale,Consumer Electronics,https://angel.co/fluxband,1-10,Acquired,,Jun ,2014,37.3688301,-122.0363496
Uplevel Security,https://angel.co/company/uplevelsecurity,5,New York City,Enterprise Security,http://www.uplevelsecurity.com,11-50,Seed,2500000,Mar ,2014,40.7127281,-74.0060152
Eventible ,https://angel.co/company/eventible,4,New York,Events,http://www.eventibleapp.com/,1-10,,,May ,2014,40.7127281,-74.0060152
Pitstop,https://angel.co/company/pitstop,5,Waterloo,Mobility,http://pitstopconnect.com,11-50,Seed,,Aug ,2014,43.466874,-80.524635
RetSKU,https://angel.co/company/retsku,5,New York City,Retail Technology,http://RetSKU.com,1-10,Seed,1140000,Jan ,2014,40.7127281,-74.0060152
Scalyr,https://angel.co/company/scalyr,5,San Mateo,Developer Tools,http://scalyr.com,51-200,Seed,26100000,Sep ,2014,37.496904,-122.3330573
LIFT12,https://angel.co/company/lift12,5,Singapore,Business Intelligence,http://www.lift12.com,1-10,Seed,560000,Feb ,2014,1.340863,103.830391822121
Intricately,https://angel.co/company/intricately,5,San Francisco,Sales Automation,http://intricately.com,11-50,Seed,2000000,Mar ,2014,37.7792808,-122.4192363
Truce,https://angel.co/company/truce-1,5,Mumbai,Marketplaces,https://www.truce.in,11-50,,,Jul ,2015,18.9387711,72.8353355
Responsive.AI,https://angel.co/company/responsivewealth,4,Vancouver,Investment Management,http://www.responsive.ai,1-10,,,Mar ,2015,49.2608724,-123.1139529
PeerWell,https://angel.co/company/peerwell,5,Austin,Medical Technologies,https://www.peerwell.co,11-50,Series A,8600000,Feb ,2015,30.2711286,-97.7436995
zeotap,https://angel.co/company/zeotap,5,Milan,Mobile Advertising,http://www.zeotap.com,51-200,Series B,20700000,Apr ,2015,45.4668,9.1905
Infinario,https://angel.co/company/infinario,3,Bratislava,Online Gaming,http://www.infinario.com,11-50,Seed,500000,Apr ,2015,48.1516988,17.1093063
LeadIQ,https://angel.co/company/leadiq,5,Singapore,Sales Automation,https://leadiq.com,11-50,Seed,,Mar ,2015,1.340863,103.830391822121
The Cookie Dining,https://angel.co/company/the-cookie-dining,3,Vancouver,SaaS,http://thecookiedining.com,1-10,,,Jun ,2015,49.2608724,-123.1139529
Growthzilla,https://angel.co/company/growthzilla,3,Los Angeles,Small and Medium Businesses,https://growthzilla.com,1-10,,,Mar ,2015,34.0536909,-118.2427666
progressa,https://angel.co/company/progressa,4,Vancouver,Finance Technology,http://www.progressa.com,51-200,Series A,11400000,Aug ,2015,49.2608724,-123.1139529
Neuron Gym,https://angel.co/company/neuron-gym-2,3,Gurgaon,Brain Health,http://www.neurongym.com,1-10,Seed,25000,Feb ,2015,28.4646148,77.0299194
Storyclash,https://angel.co/company/storyclash,3,Linz,Social Media Monitoring,http://www.storyclash.com/,11-50,,,Jan ,2015,48.3059078,14.286198
INTRANAV,https://angel.co/company/quantitec,3,Eschborn,Logistics,https://www.intranav.com,51-200,Series A,4400000,Jan ,2015,50.1426423,8.5716274
OTA Expert,https://angel.co/company/ota-expert,3,Berlin,Hotels,http://ota.expert,11-50,,,Feb ,2015,52.5170365,13.3888599
chuus,https://angel.co/company/chuus,4,Los Angeles,Online Dating,http://chuus.me,1-10,,,Aug ,2015,34.0536909,-118.2427666
MDScores,https://angel.co/company/mdscores,4,Baltimore,Mobile Health,http://mdscores.com,,,,Mar ,2015,39.2908816,-76.610759
Mustard,https://angel.co/company/mustard-saas,3,Dublin,Hr Tech,https://www.mustard.ie,1-10,,,Feb ,2015,53.3497645,-6.2602732
Guaana,https://angel.co/company/guaana,4,Europe,Open Source,http://www.guaana.com,1-10,,700000,Feb ,2015,51.0,10.0
Floragraph,https://angel.co/company/floragraph,4,Sunnyvale,Genetic Testing,http://www.Floragraph.me,1-10,,,Dec ,2015,37.3688301,-122.0363496
Match2One,https://angel.co/company/match2one,4,Stockholm,Advertising Platforms,http://www.match2one.com,1-10,,,Jan ,2015,59.3251172,18.0710935
DataProphet,https://angel.co/company/dataprophet,4,Detroit,Manufacturing,http://dataprophet.com,11-50,,,May ,2015,42.3315509,-83.0466403
k. young consulting,https://angel.co/company/k-young-consulting,4,Washington DC,Consulting,http://www.kyoungconsulting.com,,,,Apr ,2015,38.8950092,-77.0365625
Recursion,https://angel.co/company/recursion-pharma,5,Salt Lake City,Artificial Intelligence / Machine Learning,http://www.recursionpharma.com,51-200,Series C,200680000,Jan ,2015,40.7670126,-111.8904308
Codec,https://angel.co/company/codec,5,London,Big Data Analytics,http://www.codeclondon.com,,Seed,6400000,Oct ,2015,51.5073219,-0.1276474
Slavebrain,https://angel.co/company/slavebrain,1,Boston,Android,http://www.slavebrain.com,,,,Nov ,2015,42.3602534,-71.0582912
Vertex Community,https://angel.co/company/vertex-community,2,,Small and Medium Businesses,http://www.vertexhub.com,11-50,,,Jun ,2015,34.220389,70.3800314
CO Analytics,https://angel.co/company/co-analytics,3,Israel,Digital Media,http://www.co-analytics.com,1-10,Seed,50000,Feb ,2015,30.8760272,35.0015196
Busigence Technologies,https://angel.co/company/busigence-technologies,3,Bengaluru,Big Data Analytics,http://www.busigence.com,1-10,,,Jul ,2015,12.9791198,77.5912997
Tuva,https://angel.co/company/tuva-labs,5,Philadelphia,K-12 Education,http://www.tuvalabs.com,1-10,Seed,430000,Mar ,2015,39.9527237,-75.1635262
HYBE Media,https://angel.co/company/hybe-media,3,Helsinki,Global,http://hybe.com,1-10,,,Nov ,2015,60.1674086,24.9425683
DataScience.com,https://angel.co/company/datascience-1,4,Culver City,Big Data Analytics,http://datascience.com,51-200,Series A,28000000,May ,2015,34.0211224,-118.3964665
Inquirly,https://angel.co/company/inquirly,3,Bengaluru,Personalization,http://www.inquirly.com,,Seed,500000,Aug ,2015,12.9791198,77.5912997
OnePay,https://angel.co/company/onepay,4,Austin,Startups,http://www.justonepay.com,1-10,,250000,Mar ,2015,30.2711286,-97.7436995
Arrah Technology,https://angel.co/company/arrah-technology,3,San Francisco,Analytics,http://www.arrahtech.com,1-10,,,Jan ,2015,37.7792808,-122.4192363
Hiddenslate,https://angel.co/company/hiddenslate,3,Menlo Park,Cloud Data Services,http://www.hiddenslate.com,1-10,,,Feb ,2015,37.4519671,-122.1779927
Omny IQ,https://angel.co/company/omnyiq,4,Silicon Valley,Predictive Analytics,http://www.OmnyIQ.com,1-10,,,Jul ,2015,37.4429964,-122.1545229
