name,idea,location,start_date,operating_years,number_employees,status,latest_funding_round
Takealot,"takealot.com is a South African online retailer, launched in June 2011, post the acquisition of an existing ecommerce business called Take2 by Kim Reid and the US based Hedge Fund, Tiger Global. They offer books, games, electronics, beauty products, toys, DVD's, music, home and kitchen appliances on their platform and have expanded selection to over 19 departments across Electronics, Lifestyle, Media &amp; Gaming and Fashion.They have their warehouses in Cape Town and Johannesburg. In 2014, Naspers owned kalahari.com merged their businesses with takealot.com. The merge was successfully completed on 1 May 2015 when all Kalahari customer accounts were transferred to takealot.com.",Cape Town South Africa,2011,7.0,,Acquired,
I-Med,"I-med is an online platform to connect healthcare providers. The platform enables healthcare providers to connect and form a network with users, providers, and insurers. The services offered are an electronic medical license, patient notification, insurance bonuses and many more.",Providencia Chile,2016,2.0,,Acquired,
Zup,"Zup innovation provides solutions to digitize company's operations and connect with customers in real time. Its platform can integrate legacy systems and web service bus, databases, mainframes to the cloud and internet. Also launched a new product named Real Wave helps businesses to create tailor made live offers to any individual or group of customers which can immediately be activated by the end user, according to their preferences.",Uberlandia Brazil,2011,9.0,,Acquired,
ADMtek,Limited information available,Hsinchu Taiwan,2018,-14.0,,Acquired,
Carriage Co.,"Try Carriage is an on-demand food delivery provider in Kuwait. The users can select food to be ordered from the registered restaurants on the App or web page. Once the order is given, they can track their order delivery status online. The company has their own fleet for delivery. The users can also order food for a later specified time. The App is available on Android and iOS.",Kuwait City Kuwait,2016,1.0,,Acquired,
ESforce,"ESforce Holding is an e-sports organization in Russian computer sports. It connects eSports business areas into a single ecosystem. It is working on multiple projects such as ESforce media, Yota Arena and FS Holding etc. Having partners including USM, Yota, ASUS and twitch.",Moscow Russia,2015,3.0,,Acquired,
United Media Agency,Aggregator and distributor of content in the internet and mobile environment,Moscow Russia,2014,4.0,,Acquired,
Coins.ph,"Coins.ph is a digital wallet for Bitcoin assets. Allows users to transfer cash, bill payments, and phone recharge. It enables merchants to accept payments for multiple goods and services. It also facilitates buying and selling of Bitcoins.",Pasig Philippines,2014,5.0,,Acquired,
TradeGecko,"TradeGecko is a cloud-based sales, warehouse and inventory management platform for online retailers. Its features include management of shipping, receiving, picking, packing, stock transfers between warehouses, order fulfilment, purchase order management, multichannel sales, supply chain management, procurement, returns logistics, inventory tracking and management.",Singapore Singapore,2012,8.0,,Acquired,
Wave Money,"Myanmar-based Wave Money is an app for money transfer. It is a joint venture between Telenor Group and Yoma Bank. The company has a Wave Shop agent network, where user can send &amp; receive money. Users have two options to send &amp; receive money - Wave shop to Wave shop transfer and Wave shop to Wave account transfer. Besides sending and receiving money through the app, users can also buy talktime.",Yangon Myanmar,2015,5.0,,Acquired,
Goviral,"Goviral is an Indonesia-based company which provides brands with a platform to connect to influencers to market their products. It also designs the campaign according to clients needs and distributes the campaigns in suitable channels. Notable clients include Unilever, Gudang Garam etc.",Jakarta Indonesia,2013,-2.0,,Acquired,
Wavy,"Wavy provides a chatbot offering customer experience solutions. Offers platform providing omnichannel customer service, messaging API integration, AI chatbots, communication content, lead generation solutions and messaging solutions that use different channels such as SMS, WhatsApp, RCS, e-mail, voice, & more. Clients include Disney, Microsoft, Google, Facebook, WhatsApp, Natura, SBT, Bradesco and Amazon among others.",Sao Paulo Brazil,2019,1.0,,Acquired,
Red Dot Payment,"Red Dot Payment offers an API-linked payment gateway for merchants and financial institutions. Supports a range of payments from online consumer payments to B2B payment collection. Features include online invoicing, recurring payments, MOTO payments, one-click payments, and customized payments. PCI-DSS compliant.",Singapore Singapore,2011,8.0,,Acquired,
Foody,"Foody.vn is a free restaurant review app dedicated to help users find nearby restaurants with honest restaurant ratings and reviews by consumers and food critics. The app features a wide network of food restaurants ranging from restaurants, bars, cafes, bars, bakeries, and resorts in the local neighborhoods of Vietnam. Foody allows its members to submit image and text reviews and participate in an online evaluation based on 5 topics: food, location, space, and price and service.",Ho Chi Minh City Vietnam,2012,5.0,,Acquired,
Superdigital,"Superdigital is an internet first retail bank. Its services include savings account, physical/virtual prepaid cards, money transfers, bill payments, and more. It also provides an app-based platform to access banking services. The app is available on iOS and Android devices.",Sao Paulo Brazil,2017,3.0,,Acquired,
Hub Prepaid,"Online payment solutions and prepaid cards for businesses. The offerings includes Hub Card, a prepaid card for corporates that can be used for both online/offline payments; Hub Fintech, to develop features for a prepaid card and payment solution through marketing, design, and technology; and Hub Risk, which helps mitigating payment frauds and transaction risks.",Barueri Brazil,2015,5.0,,Acquired,
HPM Private Hospital,Standalone multi-speciality hospital,Marrakesh Morocco,2016,2.0,,Acquired,
Magnetic MRO,"Magnetic MRO provides aviation maintenance services to its customers. Its services include heavy maintenance, line maintenance, engine solutions, spare parts and components, aircraft painting, interior designing, and engineering services. It also provides technical airline maintenance training along with light-weight replacement components and maintenance alternatives. Its customers include Primera Air, Rossiya, Ryan Air, Turkish Airlines, Onur Air, ASL Airlines, etc.",Tallinn Estonia,2014,4.0,,Acquired,
LockandStore,LockandStore is a self-storage service provider in that offers  short-and long-term storage facilities for households and businesses. Provides storage units with sizes ranging from 10sf to 200sf. Also offers serviced office space for start-ups and SMEs. Operates storage facilities in Singapore and Malaysia.,Singapore Singapore,2011,-1.0,,Acquired,
be3D,"Be3D develops 3D printers based on Fused Deposition Technology. They released 3 printers  DeeOrange, DeeGreen, and DeeRed out of which latter two are available. DeeGreen is a consumer desktop 3D printer with automated build plate levelling. DeeRed is large format 3D printer based on FDM technology with a build volume of 400*600*800 mm, intended for large and complex prints. Ydoft invested$2M and acquired 51% share in Be3D in Nov, 2014.",Prague Czech Republic,2013,1.0,,Acquired,
StarMed,Standalone ambulatory surgery center,Singapore Singapore,2018,0.0,,Acquired,
Warhorse studios,"Warhorse Studios is an indie video game development company based in the Czech Republic. The company has developed developing ""Kingdom Come: Deliverance"" (a role-playing game for PC and console devices) and ""Kingdom Come: Deliverance – From the Ashes"". The games are available on the Steam and PlayStation Store. It generates revenue through paid games.",Prague Czech Republic,2011,8.0,,Acquired,
Vindi,"Vindi provides checkout API for B2B subscription billing and payments. It has partnered with various merchant acquirers. Services include recurring billing with plus Financial Services (invoice bills, NFe, reconcile cards), payment gateway (with acquirers and sub-acquirers), dashboards (KPI`s),  PCI compliance certification.",Sao Paulo Brazil,2013,7.0,,Acquired,
TYME,"TYME is a technology company based in South Africa building products and solutions for digital banking, esp. with the view of financial inclusion.The company has developed innovative KYC accreditation solutions that allow customers to open a simple bank account over their mobile phone or an unrestricted bank account from a remote location. The solutions are hosted separately from client but are fully integrable functionally.",Johannesburg South Africa,2012,3.0,,Acquired,
Drops,"Drops offers gamified resources for language learning. Provides games with mnemonic images to learn vocabulary. Enables learning English, Japanese, Chinese, Korean, Arabic, Hebrew, Portuguese, Russian, Danish, Hungarian, Hindi and more. Available for Android and iOS platform. Offered on a monthly subscription model.",Tallinn Estonia,2015,5.0,,Acquired,
MetroDeal,"Based in Philippines, MetroDeal is an online retailer of daily deals and discount coupons. It partners with the restaurants and other outlets to provide deals with a target of limited deals. It provides deals in different verticals including food, activities, beauty, online shopping and travel. It got acquired by Japan based Transcosmos.",Manila Philippines,2011,4.0,,Acquired,
Airpatrol,"Airpatrol is developer of connected devices for homes primarily for home temperature management. Company's products include AC management device which gives information about temperature and lets user remotely switch on/off their AC, a thermostat to centrally manage home heating/cooling devices and a smart socket to let users remotely switch on/off their devices.",Tallinn Estonia,2011,,,Acquired,
Activpass,"Activpass is a discovery and booking app for availing local beauty, wellness and fitness services. It provides deals and discounts on local services, recommends services to users and helps users build a social network. Activpass offers users reward points for booking services through the app. These points can be redeemed for cash for future bookings. Businesses registered on Activpass gain access to ActivPro mobile app, a back office suite that has features for scheduling appointments, managing staff, generating reports, gaining customer insights and managing deals and marketing. As of Nov 2016, the app is yet to be launched.",Singapore Singapore,2016,2.0,,Acquired,
Solar Security,"Solar Security provides solutions for targeted monitoring and information security management to the organizations. Products include Solar Dozor which controls communication employees, prevent information leakage, analyze user activity and detect internal fraud;Solar inCode which scans source code and executable files of applications; and Solar inRights which is an Identity Governance and Administration platform. Focuses on continuous monitoring and efficient management of information security systems to achieve information security. The company has built Solar JSOC, one of the first Russian commercial center for monitoring and responding to information security incidents as a Managed Detection and Response. Claims to protect over 30% of the companies out of the top 100 Russian companies.",Moscow Russia,2015,3.0,,Acquired,
REV Asia,"REV Asia is a digital media group from Malaysia with regional presence across South East Asia including Indonesia, Philippines &amp; Vietnam. Owns brands like SAYS.com, JUICE, OhBulan!, 8Share, Hanger, Top 40 Under 40,  Starlight Cinema. Claims to have a combined reach of approximately 14M+ people per month and services over 500 clients.",Petaling Jaya Malaysia,2013,4.0,,Acquired,
Asia Box Office,"Asia Box Office is an event discovery and ticketing platform for local events. It allows users to discover events that happening around based on venue, date and time. It enables users to promote the events and get discount tickets using promo codes and buy tickets through emails.",Singapore Singapore,2016,2.0,,Acquired,
J-Money,"Jmoney for an app-based platform for consumer loans. It offers loans such as personal loans, car loans, healthcare loans, and more. The loan amount is transferred to the user's registered bank account. The app is available on iOS and Android devices.",Bangkok Thailand,2011,9.0,,Acquired,
Oberlo,Oberlo is a cloud-based drop shipping solution for online retailers and vendors. The company integrates with the merchant's web store like Shopify and enables them to import products from the suppliers and publish them to the store. It handles the drop shipping fulfillment once an order is placed and also automatically updates stock levels and product prices. The solution enables merchants to switch between the suppliers offering the best price. It charges a subscription fee starting from $29.90 per month depending on the number of products and orders per month. The company got acquired by Shopify for $15M in May 2017.,Vilnius Lithuania,2015,2.0,,Acquired,
ZakaZaka,"ZakaZaka enables users to order food from partnered restaurants using its online platform and mobile app. Users can search for restaurants based on location and dish categories such as pizza, pie, burger, etc. Allows restaurants to list their businesses on the platform. Restaurants are responsible for the delivery of orders to the customers. Claims to list over 4K restaurants in over 19 Russian cities, as of May 2017. The app is available for iOS and Android. Mail.ru acquired ZakaZaka in April 2017 and the total valuation of the company ZakaZaka is reported to be $20 million during the month of acquisition.",Moscow Russia,2013,4.0,,Acquired,
TaxiStartup,"Taxistartup provides a platform for taxi companies for GPS tracking, iPhone &amp; Android apps, online booking system, etc. They also allow the taxi companies to sell orders and cabs to each other. They claim that their solution delivers optimized routes for cabs and minimize waiting times saving up to 25% of batteries' power or fuel, thus contributing to a better environment.",Tallinn Estonia,2012,2.0,,Acquired,
Chilindo.com,"Chilindo is an online auction site in Thailand, where every auction starts at 1 THB. The company buys product from China and Thailand ans sell on auction basis. Product range includes electronics, furniture, toys, sports gear etc. It claims to have more than 1.5M online users. It charges 39 THB as shipping cost in Thailand and accepts return within 14 days.",Bangkok Thailand,2014,6.0,,Acquired,
Melhor Envio,Melhor Envio is a courier service designed specifically for e-commerce retailers. It allows e-retailers to create shipping labels of their favourite courier company. Melhor Envio has tied up with several courier companies for delivery. It aggregates demand from several e-commerce players and then negotiates with the courier companies to provide cheaper shipping rates.,Pelotas Brazil,2016,4.0,,Acquired,
MZN Property,Provider of commercial real estate loans,Warszowice Poland,2018,2.0,,Acquired,
Beneple,"Offers a cloud-based HRMS for SMBs. Features include employee onboarding, employee database, benefits &amp; compensation management, performance management, attendance &amp; leave management, payroll management, insurance administration, reporting and analytics. Had a user based of 10k at the time of acquisition in 2015. Free for users, takes commission from benefit providers.",Dubai United Arab Emirates,2015,0.0,,Acquired,
HelloHungry,Hellohungry is food delivery marketplace that enables customers to order food from partnered restaurants. the company started operations in Bulgaria under the brand BG Menu and has a network of 500 restaurants. Later it also acquired Oliviera and Quicky.ro to enter in Romania market in 2014. The company was itself acquired by Delivery Hero in 2015.,Sofia Bulgaria,2013,5.0,,Acquired,
AVM Cloud,Provider of cloud computing services,Subang Jaya Malaysia,2020,1.0,,Acquired,
Flocktory,"Flocktory operates a SaaS-based platform allowing businesses to manage digital customer life cycle, including lead generation to loyalty programs. Its solutions allow businesses to segment and target their customers and leads by purchasing behavior, demographics, geography, and social influence. Personalized push notifications can be sent to customers. A customized rewards program can be created and customers can redeem rewards from other partnered e-commerce players as well. Partnered businesses include eBay, Yves Rocher, S7 Airlines, Quelle etc. Flocktory is the Winner of IDCEE 2012 Startup Competition, Winner at Russia Tech Tour 25 2013 and Runner Up at Startup Village 2014.",Moscow Russia,2012,5.0,,Acquired,
Hermo,"Hermo is an online flash sale platform for beauty products. The product catalog includes skincare products, makeup, bath & body products, fragrances, health & wellness products, hair care products, and more. It offers products from brands such as Angel Key, BBIA, Candy Love, and others.",Johor Bahru Malaysia,2012,5.0,,Acquired,
nCinga innovations,"Ncinga is a Singapore-based company which provides its products SPARK, which is a data gathering and analytics platform. It uses IOT and sensor data to analyse and provides the insights on a dashboard to the clients. It charges the clients based on their use case for the solution. It has operations in Singapore and Sri Lanka.",Singapore Singapore,2013,6.0,,Acquired,
Ideal Finance,Provider of consumer and SME loans,Colombo Sri Lanka,2012,7.0,,Acquired,
Summa Linguae,Provider of translation and multilingual SEO services,Krakow Poland,2011,8.0,,Acquired,
StorySense Computing,"StorySense is an artificial intelligence service provider that focuses particularly on the understanding and management of stories, including blog posts, video annotation, comments in social communities, etc. Specialized at artificial intelligence, StorySense aims to make applications with linguistic analysis and story understanding capabilities. In November 2010, StorySense launched the first mobile application WhatsTheNumber, reinventing a new search experience on the yellow page that people can find their needs and directions in just 3 steps: Search, dial ,and talk. As a global service, WhatsTheNumber integrates information from over 100 countries. The application can work with 200 different languages. Laiki second product from Storysense provides user suggestion about ""what to do"" and ""where to go"" etc. based on your searches. As on 28 July 2016 both the applications are inactive.",Taipei Taiwan,2011,4.0,,Acquired,
Sprooki,Sprooki provides a location-based marketing system for malls and retail brands. It provides a white-label engagement and commerce platform that allows retailers to connect with customers. It can send customized offers and recommendations to shoppers present within the mall premises or nearby to the store.  Sprooki’s system provides alerts which the customers can get on their phones and can redeem at the store via the app. It was acquired by Australia-based Invigor Group in April 2017.,Singapore Singapore,2011,6.0,,Acquired,
Checkars,"Checkars is an online dealer for buying/selling used cars. Buyers can search the cars from the stock they want to buy & can request for a test-drive. Sellers can request quotes & can check the real-time market price of their cars. Services include insurance, finance, used car inspection & more.",Buenos Aires Argentina,2018,2.0,,Acquired,
Xendity,"Xendity is a secure authentication solutions provider. The product offers secure identification solutions by detecting face motions, etc. It also offers ant money laundering(AML) and counter financing terrorism (CFT) screening. The features of the product include face recognition, document scanning, etc.",Singapore Singapore,2017,3.0,,Acquired,
Wellteq,"Wellteq (fka Globetrekker) is a workplace team activity challenge mobile app based on virtual trekking. It uses gamification to encourage fitness among employees by offering eight week trekking experience into exotic locations. An employee can select a destination, create a team encouraging team building,  sync activity, sleep and  nutrition scores via Bluetooth tracking device; and get achievement badge rewards. It has partnered with one of the world’s most cutting edge technology companies to disrupt how health and team challenges are delivered.",Singapore Singapore,2013,7.0,,Acquired,
FoodFox,"FoodFox is an online platform where a user can search for restaurants nearby its location. One can book order from the listed restaurant and pay online. The order is delivered by Foodfox. It charges a delivery fee only if the order is below a certain amount. Claims to deliver within 45 mins.  It has partnered with 150 restaurants in Moscow. Some of the partnered restaurants are Coffeemania, Voronezh, Zodiac, Fresh, Mushrooms, Prime, Torro Grill, Upside down cake, Correas, etc.",Moscow Russia,2015,2.0,,Acquired,
Dot Property,"Dot Property Group is a parent company that operates an online listing portal for countries in South East Asia. The company has its presence in Thailand, Philippines, Vietnam, Indonesia, Cambodia, Laos, Myanmar, and Malaysia. A user can buy, sell and rent residential and commercial properties using the portal.",Bangkok Thailand,2012,4.0,,Acquired,
Kanepi,"Kanopi is a provider of information system for the mining industry. The product portfolio includes Asset Collaboration, Visualisation, Operation Production Reporting, Management of Change, Permit to Work, and others. Along with custom solutions, the company also provides advisory services to its clients.",Singapore Singapore,2014,6.0,,Acquired,
Angsana Molecular and Diagnostics,"Angsana Molecular and Diagnostics Laboratory provides genomic testing based personalized medicine. It offers tests, assay, and technology by combining molecular and genetic profiling to target innate immunity and provide prescribe medicine for the individual. It offers tests for oncology, fetal and mother test before and after birth, allergy testing, and pharmacogenetics. They offer tests following the Sanger sequencing and provide information to clinician and patient both for deciding the treatment and medicine. It is certified by CAP.",Singapore Singapore,2014,3.0,,Acquired,
Espay,"Espay offers multi-channel payment gateway services. Payment channels include credit cards, mobile banking, net banking, ATM, debit card, EIPP and e-money. The service is offered as plugins for key e-commerce platforms such as Magneto, Prestashop, Woocommerce and Opencart and also as API for any e-commerce platform. The pricing is based on number of transactions and per transaction cost reduces with usage.",Tangerang Indonesia,2014,3.0,,Acquired,
Gamee,"Gamee is a web-based casual game development company for social platforms. It allows gamers to add friends, create challenges and play games with their social group using the platform. Also develops games for brands and allows game developers to upload their games on the platforms. The app is also available on App Store and Google Play store.",Prague Czech Republic,2014,6.0,,Acquired,
INVISEE,INVISEE is an online platform focused on investments in mutual funds. It allows users to buy and sell mutual funds through app-based platforms. Offers education & training sessions to users to assist in developing investment decisions. The application can be accessed on iOS and Android devices.,Jakarta Indonesia,2015,5.0,,Acquired,
Nonstop Games,Nonstop games is a Singapore based mobile game developer specializing in mid-core games. In January 2014 the company released their first mid-core game - Heroes of Honor - a freemium MMORTS for the mobile and tablet platforms.,Singapore Singapore,2011,3.0,,Acquired,
Almosafer Company,"Almosafer is an online platform for booking hotels. Enables users to search, compare and book hotel rooms on the platform after providing relevant details. Its mobile app is avaialble for iOS and Android platforms.",Riyadh Saudi Arabia,2013,2.0,,Acquired,
Axado,"Axado provides saas based shipping solutions for ecommerce. Its API easily integrates with ecommerce websites allowing an individual to choose a carrier option by compairing prices, route options while checking out. After which, Axado picks the product, packs it and sends it via the choosen carrier. Also provides tracking of packages and intelligence reports.",Florianopolis Brazil,2011,5.0,,Acquired,
Payme,"Payme is an app-based mobile payment platform. Services offered include a card to card money transfer, payments for government and public services, loan repayment, insurance payments, internet recharge, DTH recharge, air & railway ticket booking, etc. Supports QR code-based payments. Provides payment monitoring services which store the history of purchases, transfers, and receipts. Allows users to manage multiple UZCARDs. The app is available on Android and iOS platforms.",Tashkent Uzbekistan,2016,3.0,,Acquired,
Bebitus,"Bebitus started with selling baby and toddler products for daily     needs and later on expanded into products such as strollers to serve customer needs.     After having developed the Spanish online shop successfully, bebitus expanded to France with     www.bebitus.fr late 2013 and to Portugal with www.bebitus.pt early 2014.     In 2014, bebitus generated revenues of approximately 7 million EUR with the majority coming from     Spain.",Espana Mexico,2011,4.0,,Acquired,
CloudPayments,"CloudPayments provides payment solutions for the e-commerce market.  It offers payment solutions like customized payment page, accepting payments without site integration, payment form. Payment form is set by client script and opens in iframe-box without redirecting the user to the payment gateway site. It has cloud servers in Russia and Europe for transaction processing.",Moscow Russia,2014,4.0,,Acquired,
iMoney Group,"iMoney provides a comparison platform for financial products. It enables users to compare products such as consumer loans, mortgage loans, credit cards, insurance, savings & current accounts, and more. It provides rates on the basis of preferences.",Kuala Lumpur Malaysia,2012,5.0,,Acquired,
Market Music,"Market Music provides a cloud-based digital signage solution. The platform provides software that adapts to the user's network, operating system, and hardware system. The platform provides different kinds of musical styles, licensed music, and more. The company provides the right kind of music to set the ambiance in the business. The company has clients KFC, Armani, Burger King, Kia, CalvinKlein, Decathlon, and McDonald's.",Moscow Russia,2012,8.0,,Acquired,
Captain Growth,"Captain Growth offers AI-based advertising analytics platform for optimizing and scaling ads in Facebook and Adwords. It provides AI-driven suggestions and automation for optimizing ads. It provides solutions such as budget allocation, changing bidding, excluding bad performing segments, stopping bad performing ads, scaling performing ads, and enhancing better performing segments.",Kyiv Ukraine,2017,2.0,,Acquired,
QuadX,"Quad X is a provider of cross-border shipping solutions. The company offers a solution for cross-border digital logistics and e-commerce payment processing. Its services include - ShippingCart (cross-border shipping service for products from the US to the PH), Gogo Xpress (payment and delivery solution for social sellers), and XPost (pickup and delivery service).",Makati Philippines,2013,5.0,,Acquired,
Jaga-Me,"Jaga-Me is an online platform for on-demand home-care and nursing service professionals. Caregivers can come to the platform and register themselves. Patient or guardian can come to the platform, fill in their requirements about services and ask for a caregiver to visit home. The company won a grant of $71K in the NTUC Income Future Starter in Nov'15.",Singapore Singapore,2015,4.0,,Acquired,
InfoCasas,"InfoCasas is a web and mobile-based listing platform for residential real estate headquartered in Uruguay. Its app is available on iOS and Android. Users can browse through listings of residential properties available for sale/rent on the company's platform and obtain information such as location, price, availability, information on amenities and contact details of the property owner/agent. Users can initiate an offline communication with the property owner/agent to close the deal for the property of their choice. Property owners/agents can list their properties on the platform by registering online and availing either the free or paid (onwards of $200) listing packages offered by the company. The company also publishes an online and print magazine for real estate on a monthly basis.",,2011,8.0,,Acquired,
Ödeal,Odeal is a hardware free payment acceptance solution for merchants allowing them to accept card payments at point of sale using the Odeal app on their mobile. The merchant can either enter the details or snap a pic of the card to accept the payments. Odeal charges 2.75% transaction charges inclusive of taxes.,Istanbul Turkey,2014,1.0,,Acquired,
Carmudi,"Carmudi is an online listing platform for automotive vehicles including bikes, cars, and commercial vehicles. It allows buyers to discover from the list of vehicles listed by dealers & sellers. Sellers can list their vehicles on the platform.",Taguig Philippines,2014,5.0,,Acquired,
Carmudi Indonesia,"Carmudi is an online listing platform for multi-category used vehicles. It enables users to find or advertise new/used vehicles across categories including cars, bikes, and commercial vehicles. It also provides users with the latest industry news, car reviews, car buying tips, automotive events & other content. Their app is available for Android & iOS devices.",Jakarta Indonesia,2013,6.0,,Acquired,
Hologryph,Provider of services for gaming,Lviv Ukraine,2016,4.0,,Acquired,
PGK Digital,Provider of outdoor advertising services,Singapore Singapore,2020,0.0,,Acquired,
Vidi,"Vidi (formerly Touristly) is an online platform for booking personalized holiday packages from local businesses. Users can customize holiday packages by selecting (& thereby adding it to itineraries) restaurants, tours, attractions, events, accommodations, flights, and more (from partnered travel service providers like AirAsia, Rokki, Tune Hotels, Tune Group, etc) in Asia-pacific region. Subsequently, users can book the customized holidays. The platform is free to use for travelers and charges a commission from the local businesses. Air Asia acquired a 50% stake in April 2017. The company is also the recipient of Cradle Fund’s CIP500 Grant.",Kuala Lumpur Malaysia,2015,3.0,,Acquired,
